1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1007160313-2ee19b | http://is1.auto.ru/all/images/49/e7/60x45/49e74cf8.jpg |  Audi A4 III (B7)1.8 MT (163 л.с.)  | #FF0000 | 670 000 |  2007  |  55 000 км  |  1.8 MT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242439-beaa4 | http://is7.auto.ru/all/images/06/8f/60x45/068f4576.jpg |  Audi A4 III (B7)2.0 AT (211 л.с.) 4WD  | #000000 | 730 000 |  2007  |  115 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006746471-18ec | http://is3.auto.ru/all/images/c8/48/60x45/c848def8.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #0000FF | 580 000 |  2007  |  92 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006861531-8b9dc | http://is17.auto.ru/all/images/de/8c/60x45/de8c0ba1.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 449 000 |  2004  |  178 500 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006984853-e201 | http://is11.auto.ru/all/images/88/c4/60x45/88c43ff9.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 950 000 |  2010  |  71 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242911-c37e98 | http://is18.auto.ru/all/images/55/47/60x45/5547c457.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #9c9999 | 1 050 000 |  2012  |  90 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242701-a8804d | http://is4.auto.ru/all/images/d3/03/60x45/d303f389.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #FF0000 | 219 888 |  1997  |  218 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007217549-6f29d6 | http://is17.auto.ru/all/images/78/66/60x45/786674a3.jpg |  Audi A4 IV (B8) Рестайлинг2.0d AT (177 л.с.) 4WD  | #34ba2b | 815 000 |  2011  |  55 000 км  |  2.0d AT (177 л.с.) 4WDуниверсал, дизель, полный  | Москва | 22.01.15
1007217485-72a854 | http://is3.auto.ru/all/images/d2/ab/60x45/d2ab4566.jpg |  Audi A4 II (B6)2.0 CVT (150 л.с.)  | #0000FF | 395 000 |  2004  |  143 000 км  |  2.0 CVT (150 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007216271-f46fc | http://is5.auto.ru/all/images/2c/b0/60x45/2cb01797.jpg |  Audi A4 II (B6)2.4 CVT (170 л.с.)  | #000000 | 415 000 |  2004  |  138 000 км  |  2.4 CVT (170 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007217575-3402 | http://is16.auto.ru/all/images/35/2d/60x45/352dcbad.jpg |  Audi A4 III (B7)2.0 AT (220 л.с.) 4WD  | #9c9999 | 505 000 |  2007  |  74 000 км  |  2.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007216077-80dee | http://is18.auto.ru/all/images/4b/a7/60x45/4ba77e32.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 545 000 |  2007  |  86 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006867759-d9219 | http://is16.auto.ru/all/images/5b/be/60x45/5bbed016.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0000FF | 800 000 |  2007  |  102 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006758513-ccdf2 | http://is12.auto.ru/all/images/85/21/60x45/852130a3.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 670 000 |  2012  |  70 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007242351-3d32 | http://is6.auto.ru/all/images/0d/09/60x45/0d09f5f2.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 800 000 |  2008  |  89 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007200815-d715 | http://is8.auto.ru/all/images/e3/99/60x45/e399e9a0.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #000000 | 1 379 707 |  2014  |  10 114 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007053979-d745 | http://is9.auto.ru/all/images/63/2f/60x45/632f4a53.jpg |  Audi A4 IV (B8)3.0d AT (239 л.с.) 4WD  | #9c9999 | 1 150 000 |  2008  |  82 000 км  |  3.0d AT (239 л.с.) 4WDуниверсал, дизель, полный  | Москва | 22.01.15
1003698154-64551 | http://is6.auto.ru/all/images/4a/16/60x45/4a162c5d.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 765 000 |  2009  |  86 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241333-34919 | http://is8.auto.ru/all/images/c1/f7/60x45/c1f7ef89.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.) 4WD  | #CACECB | 290 000 |  2001  |  240 000 км  |  1.8 MT (150 л.с.) 4WDседан, бензин, полный  | Нижний Новгород | 22.01.15
47343262-e26020 | http://is3.auto.ru/all/images/cc/9b/60x45/cc9b2b7a.jpg |  Audi A4 II (B6)1.8 MT (163 л.с.) 4WD  | #fde910 | 450 000 |  2003  |  160 000 км  |  1.8 MT (163 л.с.) 4WDседан, бензин, полный  | Сыктывкар | 22.01.15
1007239907-1db593 | http://is12.auto.ru/all/images/3c/41/60x45/3c418b3a.jpg |  Audi A4 IV (B8)1.8 MT (160 л.с.)  | #000000 | 780 000 |  2008  |  100 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Ставрополь | 22.01.15
1003928954-9fd3c | http://is1.auto.ru/all/images/e6/43/60x45/e64338ca.jpg |  Audi A4 IV (B8)3.0d AT (239 л.с.) 4WD  | #9c9999 | 1 050 000 |  2009  |  98 000 км  |  3.0d AT (239 л.с.) 4WDседан, дизель, полный  | Москва | 22.01.15
1007239445-fe58 | http://is14.auto.ru/all/images/c0/93/60x45/c0933c70.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #000000 | 220 000 |  1996  |  232 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Брянск | 22.01.15
1005327941-e888 | http://is2.auto.ru/all/images/af/30/60x45/af3013b1.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 670 000 |  2007  |  98 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007216535-dcbbc1 | http://is1.auto.ru/all/images/d4/6f/60x45/d46f3730.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #FF0000 | 490 000 |  2006  |  65 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216517-dd84 | http://is17.auto.ru/all/images/7c/c0/60x45/7cc00bd1.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 500 000 |  2007  |  47 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216533-5a47b7 | http://is7.auto.ru/all/images/17/ba/60x45/17baa0db.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #0000FF | 540 000 |  2007  |  65 000 км  |  2.0d CVT (140 л.с.) 8Vуниверсал, дизель, передний  | Москва | 22.01.15
1007239983-71390 | http://is1.auto.ru/all/images/fd/97/60x45/fd979caa.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.)  | #FFFFFF | 250 000 |  1998  |  260 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Стерлитамак | 22.01.15
1007134913-71f6eb | http://is13.auto.ru/all/images/59/89/60x45/5989fdcb.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 395 000 |  2002  |  140 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007218113-b752bc | http://is17.auto.ru/all/images/63/34/60x45/63340128.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #9c9999 | 515 000 |  2008  |  124 000 км  |  2.0d CVT (140 л.с.) 8Vуниверсал, дизель, передний  | Москва | 22.01.15
1007094943-e0813 | http://is3.auto.ru/all/images/62/10/60x45/62106910.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #FFFFFF | 220 000 |  1998  |  256 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Москва | 22.01.15
