1002545957-a1e4b | http://is12.auto.ru/all/images/bc/47/60x45/bc47f316.jpg |  BMW 3er IV (E46) 330i3.0 MT (231 л.с.)  | #000000 | 350 000 |  2000  |  171 000 км  |  3.0 MT (231 л.с.)седан, бензин, задний  | Санкт-Петербург | 08.11.14
1004712357-f801 | http://is2.auto.ru/all/images/b5/5a/60x45/b55a6c3f.jpg |  BMW 3er VI (F3x) 320d2.0d AT (184 л.с.)  | #000000 | 1 400 000 |  2013  |  63 102 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Ижевск | 18.12.14
47904742-68f9f | http://is9.auto.ru/all/images/d2/64/60x45/d264660f.jpg |  BMW 3er IV (E46) Рестайлинг 325i2.5 AT (192 л.с.)  | #0000FF | 620 000 |  2004  |  120 000 км  |  2.5 AT (192 л.с.)купе, бензин, задний  | Москва | 22.12.14
1005567973-5b768 | http://is3.auto.ru/all/images/42/98/60x45/42989b3b.jpg |  BMW 3er VI (F3x) 320i2.0 AT (184 л.с.)  | #000000 | 1 320 000 |  2012  |  51 000 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005568827-35e93f | http://is11.auto.ru/all/images/88/03/60x45/88033ffb.jpg |  BMW 3er VI (F3x) 320i2.0 AT (184 л.с.)  | #FFFFFF | 1 750 000 |  2013  |  23 000 км  |  2.0 AT (184 л.с.)хэтчбек, бензин, задний  | Екатеринбург | 23.12.14
1005570603-0a90 | http://is13.auto.ru/all/images/ef/22/60x45/ef22e967.jpg |  BMW 3er V (E9x) Рестайлинг 320i2.0 AT (156 л.с.)  | #9c9999 | 950 000 |  2012  |  80 000 км  |  2.0 AT (156 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005566253-4d0a9 | http://is17.auto.ru/all/images/af/43/60x45/af436ac0.jpg |  BMW 3er V (E9x) 330d3.0d AT (231 л.с.)  | #000000 | 1 150 000 |  2008  |  120 000 км  |  3.0d AT (231 л.с.)седан, дизель, задний  | Москва | 23.12.14
1005572797-fde67 | http://is2.auto.ru/all/images/56/1c/60x45/561ca4d1.jpg |  BMW 3er IV (E46) Рестайлинг 325i2.5 MT (192 л.с.)  | #9c9999 | 400 000 |  2004  |  250 000 км  |  2.5 MT (192 л.с.)седан, бензин, задний  | Грозный | 23.12.14
1005577533-daa3 | /i/all7/img/no-photo-thumb.gif |  BMW 3er V (E9x) 320i2.0 AT (150 л.с.)  | #9c9999 | 540 000 |  2006  |  170 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Бузулук | 23.12.14
1005581157-7136 | http://is8.auto.ru/all/images/36/8b/60x45/368be095.jpg |  BMW 3er V (E9x) Рестайлинг 320d2.0d AT (184 л.с.)  | #FFFFFF | 1 400 000 |  2012  |  35 000 км  |  2.0d AT (184 л.с.)купе, дизель, задний  | Уфа | 23.12.14
1005582005-5c18c | http://is15.auto.ru/all/images/20/5d/60x45/205d4b95.jpg |  BMW 3er IV (E46) Рестайлинг 325i2.5 AT (192 л.с.)  | #0088ff | 560 000 |  2003  |  219 000 км  |  2.5 AT (192 л.с.)купе, бензин, задний  | Москва | 23.12.14
1005584315-87d3 | http://is2.auto.ru/all/images/a9/75/60x45/a975eb70.jpg |  BMW 3er V (E9x) 320i2.0 AT (150 л.с.)  | #9c9999 | 570 000 |  2006  |  101 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Щелково | 23.12.14
1005583685-f9d738 | http://is4.auto.ru/all/images/01/8c/60x45/018ce761.jpg |  BMW 3er III (E36) 328i2.8 MT (193 л.с.)  | #000000 | 320 000 |  1997  |  140 000 км  |  2.8 MT (193 л.с.)седан, бензин, задний  | Красноярск | 23.12.14
1005586737-e6d04 | http://is5.auto.ru/all/images/1b/e2/60x45/1be28dda.jpg |  BMW 3er V (E9x) 325xi2.5 AT (218 л.с.) 4WD  | #000000 | 600 000 |  2006  |  110 000 км  |  2.5 AT (218 л.с.) 4WDседан, бензин, полный  | Челябинск | 23.12.14
1005586987-718fe7 | http://is8.auto.ru/all/images/fc/e6/60x45/fce6c0aa.jpg |  BMW 3er III (E36) 316i1.6 MT (102 л.с.)  | #34ba2b | 250 000 |  1997  |  170 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, задний  | Смоленск | 23.12.14
1005587103-3f3c29 | http://is9.auto.ru/all/images/85/e1/60x45/85e1084b.jpg |  BMW 3er V (E9x) 325i2.5 AT (218 л.с.)  | #ffefd5 | 750 000 |  2008  |  128 000 км  |  2.5 AT (218 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005587355-2c8ad4 | http://is1.auto.ru/all/images/a3/03/60x45/a3038a8e.jpg |  BMW 3er V (E9x) 325i2.5 AT (218 л.с.)  | #000000 | 750 000 |  2008  |  157 000 км  |  2.5 AT (218 л.с.)седан, бензин, задний  | Москва | 23.12.14
