1002022411-a9450 | http://is12.auto.ru/all/images/c3/5f/60x45/c35fae30.jpg |  BMW 5er IV (E39) 528i2.8 AT (193 л.с.)  | #0000FF | 330 000 |  1998  |  65 000 км  |  2.8 AT (193 л.с.)седан, бензин, задний  | Ярославль | 30.11.14
1004229267-805c | http://is3.auto.ru/all/images/7a/6f/60x45/7a6f8011.jpg |  BMW 5er V (E60/E61) 550i4.8 AT (367 л.с.)  | #0000FF | 845 000 |  2007  |  155 000 км  |  4.8 AT (367 л.с.)седан, бензин, задний  | Москва | 03.12.14
46543486-f393 | http://is2.auto.ru/all/images/8e/7f/60x45/8e7f8e78.jpg |  BMW 5er VI (F10/F11/F07) 535i xDrive3.0 AT (306 л.с.) 4WD  | #9c9999 | 2 022 000 |  2011  |  26 804 км  |  3.0 AT (306 л.с.) 4WDседан, бензин, полный  | Москва | 17.12.14
5398313-047f4 | http://is2.auto.ru/all/images/04/63/60x45/046364b2.jpg |  BMW 5er VI (F10/F11/F07) 550i xDrive4.4 AT (407 л.с.) 4WD  | #9c9999 | 2 340 000 |  2011  |  70 514 км  |  4.4 AT (407 л.с.) 4WDседан, бензин, полный  | Москва | 17.12.14
42110100-9512b | http://is15.auto.ru/all/images/67/ad/60x45/67ad4bfb.jpg |  BMW 5er VI (F10/F11/F07) 530d3.0d AT (245 л.с.)  | #000000 | 2 160 000 |  2011  |  92 501 км  |  3.0d AT (245 л.с.)хэтчбек, дизель, задний  | Москва | 17.12.14
1004694351-20e2 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #0000FF | 2 096 000 |  2014  |  1 028 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Тверь | 19.12.14
1004693759-19f7 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #926547 | 2 096 000 |  2014  |  1 037 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Тверь | 19.12.14
1004693983-aef8 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #9c9999 | 2 096 000 |  2014  |  1 064 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Тверь | 19.12.14
1004693399-c947 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #000000 | 2 096 000 |  2014  |  1 120 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Тверь | 19.12.14
1004694655-78c3 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520d2.0d AT (184 л.с.)  | #000000 | 2 159 000 |  2014  |  1 033 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Тверь | 19.12.14
1004694737-f4c8 | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) Рестайлинг 520d2.0d AT (184 л.с.)  | #9c9999 | 2 159 000 |  2014  |  1 029 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Тверь | 19.12.14
47114690-d3794d | http://is9.auto.ru/all/images/d8/a7/60x45/d8a7b680.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 520d2.0d AT (184 л.с.)  | #FFFFFF | 2 159 000 |  2014  |  1 015 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Тверь | 19.12.14
1005382841-2431 | http://is10.auto.ru/all/images/74/0e/60x45/740e03df.jpg |  BMW 5er VI (F10/F11/F07) 530d xDrive3.0d AT (245 л.с.) 4WD  | #FFFFFF | 2 150 400 |  2010  |  39 022 км  |  3.0d AT (245 л.с.) 4WDхэтчбек, дизель, полный  | Москва | 21.12.14
1005568683-29f6 | http://is13.auto.ru/all/images/7f/68/60x45/7f684b5f.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 530d xDrive3.0d AT (258 л.с.) 4WD  | #000000 | 2 900 000 |  2013  |  4 100 км  |  3.0d AT (258 л.с.) 4WDседан, дизель, полный  | Москва | 23.12.14
1005568293-0e3e | http://is18.auto.ru/all/images/65/22/60x45/6522d460.jpg |  BMW 5er V (E60/E61) 530i3.0 AT (231 л.с.)  | #000000 | 570 000 |  2004  |  130 000 км  |  3.0 AT (231 л.с.)седан, бензин, задний  | Ростов-на-Дону | 23.12.14
49260176-d8cd7e | http://is2.auto.ru/all/images/63/da/60x45/63daef35.jpg |  BMW 5er V (E60/E61) 525i2.5 AT (192 л.с.)  | #000000 | 680 000 |  2005  |  220 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Кольчугино | 23.12.14
1005567319-ba95 | http://is17.auto.ru/all/images/83/52/60x45/8352c35d.jpg |  BMW 5er IV (E39) 523i2.5 AT (170 л.с.)  | #34ba2b | 310 000 |  1999  |  300 000 км  |  2.5 AT (170 л.с.)седан, бензин, задний  | Ярцево | 23.12.14
1005567849-7e24 | http://is3.auto.ru/all/images/6b/70/60x45/6b70950f.jpg |  BMW 5er III (E34) 525i2.5 AT (192 л.с.)  | #FF0000 | 75 000 |  1989  |  353 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005572145-d5be | http://is14.auto.ru/all/images/60/35/60x45/60352843.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 AT (170 л.с.)  | #9c9999 | 420 000 |  2001  |  220 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005572885-66f9 | http://is12.auto.ru/all/images/5c/98/60x45/5c98d7cc.jpg |  BMW 5er V (E60/E61) Рестайлинг 530xd3.0d AT (235 л.с.) 4WD  | #FFFFFF | 1 150 000 |  2007  |  162 000 км  |  3.0d AT (235 л.с.) 4WDседан, дизель, полный  | Владимир | 23.12.14
1005573587-fcda | http://is16.auto.ru/all/images/9a/88/60x45/9a884e86.jpg |  BMW 5er IV (E39) 520i2.0 AT (150 л.с.)  | #0000FF | 320 000 |  1997  |  285 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Иваново | 23.12.14
1005573803-a94732 | http://is9.auto.ru/all/images/c9/7d/60x45/c97d7f57.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #000000 | 285 000 |  1997  |  420 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Наро-Фоминск | 23.12.14
1003906908-5b3e | http://is16.auto.ru/all/images/41/16/60x45/4116b53e.jpg |  BMW 5er V (E60/E61) Рестайлинг 520d2.0d AT (177 л.с.)  | #000000 | 849 000 |  2009  |  116 000 км  |  2.0d AT (177 л.с.)седан, дизель, задний  | Рязань | 23.12.14
1005578207-df09 | http://is18.auto.ru/all/images/75/53/60x45/7553802c.jpg |  BMW 5er IV (E39)2.5 AT (192 л.с.)  | #000000 | 460 000 |  2002  |  230 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Ливны | 23.12.14
1005578761-a6e9f | http://is2.auto.ru/all/images/a8/aa/60x45/a8aaa35f.jpg |  BMW 5er V (E60/E61) Рестайлинг 520i2.0 AT (170 л.с.)  | #000000 | 950 000 |  2008  |  94 000 км  |  2.0 AT (170 л.с.)седан, бензин, задний  | Воронеж | 23.12.14
1005578863-902d | /i/all7/img/no-photo-thumb.gif |  BMW 5er III (E34) 525i2.5 MT (170 л.с.)  | #000000 | 75 000 |  1989  |  400 000 км  |  2.5 MT (170 л.с.)седан, бензин, задний  | Самара | 23.12.14
1005579675-ab9d1 | http://is8.auto.ru/all/images/1a/55/60x45/1a55419b.jpg |  BMW 5er V (E60/E61) 520i2.2 AT (170 л.с.)  | #0000FF | 690 000 |  2003  |  111 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.12.14
