44752822-5ac02d | http://is9.auto.ru/all/images/ef/a6/60x45/efa6afee.jpg |  BMW X5 II (E70) Рестайлинг 40d3.0d AT (306 л.с.) 4WD  | #000000 | 2 690 000 |  2011  |  78 600 км  |  3.0d AT (306 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 30.11.14
26934210-de557 | http://is13.auto.ru/all/images/61/4f/60x45/614ffdd7.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 2 499 999 |  2008  |  94 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 04.12.14
20302702-9a339 | http://is15.auto.ru/all/images/84/d7/60x45/84d727ce.jpg |  BMW X5 II (E70) Рестайлинг 35i3.0 AT (306 л.с.) 4WD  | #9c9999 | 1 799 000 |  2010  |  52 000 км  |  3.0 AT (306 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 04.12.14
42327252-3686a | http://is8.auto.ru/all/images/9d/f1/60x45/9df1ab14.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #9c9999 | 1 400 000 |  2009  |  87 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 17.12.14
49677130-b548 | http://is7.auto.ru/all/images/cd/f2/60x45/cdf2f5d5.jpg |  BMW X5 II (E70) Рестайлинг 35i3.0 AT (306 л.с.) 4WD  | #000000 | 2 980 800 |  2012  |  40 904 км  |  3.0 AT (306 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.12.14
48828090-2e82f | http://is9.auto.ru/all/images/36/9e/60x45/369eb409.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #FFFFFF | 1 956 000 |  2008  |  118 285 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 18.12.14
40148980-04f51 | http://is18.auto.ru/all/images/06/6a/60x45/066a4bc0.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #9c9999 | 1 300 000 |  2008  |  145 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.12.14
36509754-4f786c | http://is8.auto.ru/all/images/26/0f/60x45/260f600c.jpg |  BMW X5 I (E53) Рестайлинг4.4 AT (320 л.с.) 4WD  | #CACECB | 679 000 |  2005  |  146 000 км  |  4.4 AT (320 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.12.14
1002112255-3f5cb | http://is4.auto.ru/all/images/a5/54/60x45/a554b301.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #CACECB | 1 100 000 |  2007  |  150 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 18.12.14
1002672323-6ae6a | http://is4.auto.ru/all/images/28/f1/60x45/28f16249.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #ffefd5 | 750 000 |  2005  |  210 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.12.14
1002944748-ff04 | http://is11.auto.ru/all/images/a5/d9/60x45/a5d92e64.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #000000 | 1 400 000 |  2007  |  141 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 20.12.14
1005450031-d22880 | http://is16.auto.ru/all/images/d6/9f/60x45/d69f7206.jpg |  BMW X5 II (E70) Рестайлинг 40d3.0d AT (306 л.с.) 4WD  | #000000 | 2 399 000 |  2011  |  54 000 км  |  3.0d AT (306 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 21.12.14
48255044-4878 | http://is3.auto.ru/all/images/49/bb/60x45/49bbf496.jpg |  BMW X5 I (E53)2.9d AT (184 л.с.) 4WD  | #CACECB | 680 000 |  2003  |  149 000 км  |  2.9d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Ростов-на-Дону | 22.12.14
1005565281-53479 | http://is6.auto.ru/all/images/41/95/60x45/41956bb5.jpg |  BMW X5 I (E53) Рестайлинг4.8 AT (360 л.с.) 4WD  | #000000 | 800 000 |  2004  |  185 000 км  |  4.8 AT (360 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.12.14
1005568793-f0cc | http://is13.auto.ru/all/images/79/75/60x45/7975f05d.jpg |  BMW X5 II (E70) Рестайлинг 50i4.4 AT (407 л.с.) 4WD  | #FFFFFF | 2 550 000 |  2012  |  68 000 км  |  4.4 AT (407 л.с.) 4WDвнедорожник, бензин, полный  | Мытищи | 23.12.14
1005567753-b900 | http://is17.auto.ru/all/images/b7/cb/60x45/b7cbfce2.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #0000FF | 780 000 |  2004  |  198 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 23.12.14
1005568959-66c385 | http://is17.auto.ru/all/images/3d/5e/60x45/3d5e4db6.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #000000 | 650 000 |  2003  |  190 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 23.12.14
1005568557-2d794 | http://is16.auto.ru/all/images/4d/e7/60x45/4de7f3c7.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 1 400 000 |  2007  |  140 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Севастополь | 23.12.14
1005573381-4df1c | http://is9.auto.ru/all/images/f2/ed/60x45/f2ed50ed.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #FFFFFF | 1 350 000 |  2008  |  118 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Тюмень | 23.12.14
1005573181-1715c7 | http://is9.auto.ru/all/images/fd/75/60x45/fd75f7a3.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 1 300 000 |  2008  |  110 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.12.14
1005574179-e9433 | /i/all7/img/no-photo-thumb.gif |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #FFFFFF | 2 300 000 |  2010  |  145 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Котлас | 23.12.14
