1005031721-fdc4 | http://is17.auto.ru/all/images/15/e6/60x45/15e65395.jpg |  Chevrolet Cruze I1.6 MT (109 л.с.)  | #9c9999 | 535 000 |  2012  |  45 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Саранск | 17.12.14
1004501063-abcf | http://is18.auto.ru/all/images/ab/e8/60x45/abe86721.jpg |  Chevrolet Cruze I Рестайлинг1.6 MT (109 л.с.)  | #000000 | 670 000 |  2013  |  58 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Москва | 18.12.14
1004501043-ea92 | http://is16.auto.ru/all/images/4a/60/60x45/4a605cc9.jpg |  Chevrolet Cruze I Рестайлинг1.6 MT (109 л.с.)  | #000000 | 670 000 |  2013  |  55 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Москва | 18.12.14
1005179951-eed77a | http://is9.auto.ru/all/images/dd/5b/60x45/dd5bcc89.jpg |  Chevrolet Cruze I1.8 AT (141 л.с.)  | #FFFFFF | 600 000 |  2011  |  76 000 км  |  1.8 AT (141 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.12.14
1005325381-b5aaa | http://is14.auto.ru/all/images/bd/c1/60x45/bdc195ff.jpg |  Chevrolet Cruze I Рестайлинг1.6 MT (124 л.с.)  | #FFFFFF | 555 000 |  2013  |  30 344 км  |  1.6 MT (124 л.с.)универсал, бензин, передний  | Ростов-на-Дону | 19.12.14
48885068-99cef | http://is8.auto.ru/all/images/37/a2/60x45/37a26780.jpg |  Chevrolet Cruze I1.6 MT (109 л.с.)  | #9c9999 | 479 000 |  2011  |  62 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Рязань | 20.12.14
46398208-be484 | http://is2.auto.ru/all/images/ad/65/60x45/ad650dc7.jpg |  Chevrolet Cruze I Рестайлинг1.6 MT (109 л.с.)  | #FFFFFF | 557 000 |  2013  |  56 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Обнинск | 21.12.14
1003349666-7cdd2 | http://is18.auto.ru/all/images/de/5f/60x45/de5f67fe.jpg |  Chevrolet Cruze I Рестайлинг1.6 AT (109 л.с.)  | #000000 | 520 000 |  2013  |  51 000 км  |  1.6 AT (109 л.с.)хэтчбек, бензин, передний  | Москва | 22.12.14
1004214769-a7217 | http://is7.auto.ru/all/images/75/33/60x45/7533e0d2.jpg |  Chevrolet Cruze I1.6 AT (109 л.с.)  | #CACECB | 617 100 |  2012  |  38 320 км  |  1.6 AT (109 л.с.)седан, бензин, передний  | Москва | 22.12.14
1005570599-b36e | http://is5.auto.ru/all/images/de/3d/60x45/de3dd074.jpg |  Chevrolet Cruze I1.8 MT (141 л.с.)  | #FFFFFF | 650 000 |  2012  |  55 000 км  |  1.8 MT (141 л.с.)хэтчбек, бензин, передний  | Новомосковск | 23.12.14
1005569201-f7c1 | http://is17.auto.ru/all/images/5c/08/60x45/5c081374.jpg |  Chevrolet Cruze I1.6 MT (109 л.с.)  | #000000 | 435 000 |  2011  |  82 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Орехово-Зуево | 23.12.14
