36596566-9da0 | http://is5.auto.ru/all/images/5f/4e/60x45/5f4e82ad.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #0000FF | 350 000 |  2010  |  34 000 км  |  1.4 MT (94 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1003360712-fee9c | http://is3.auto.ru/all/images/34/a8/60x45/34a8bbc0.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #CACECB | 370 000 |  2012  |  45 000 км  |  1.6 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 18.12.14
1005118637-284c24 | http://is4.auto.ru/all/images/f6/97/60x45/f6973e2e.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #CACECB | 370 000 |  2012  |  60 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Москва | 18.12.14
47699724-74b54c | http://is18.auto.ru/all/images/6e/6b/60x45/6e6bb94a.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #0000FF | 350 000 |  2007  |  71 000 км  |  1.6 MT (109 л.с.)хэтчбек, бензин, передний  | Орел | 18.12.14
1002282103-120f | http://is2.auto.ru/all/images/d1/fc/60x45/d1fc09cc.jpg |  Chevrolet Lacetti1.6 AT (109 л.с.)  | #FF9966 | 359 000 |  2008  |  59 300 км  |  1.6 AT (109 л.с.)хэтчбек, бензин, передний  | Москва | 18.12.14
1005382869-e80443 | http://is11.auto.ru/all/images/a3/d0/60x45/a3d0f848.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #CACECB | 320 000 |  2007  |  320 000 км  |  1.4 MT (94 л.с.)седан, бензин, передний  | Тула | 20.12.14
27077792-a112 | http://is17.auto.ru/all/images/2a/0a/60x45/2a0a4a58.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #ffefd5 | 395 000 |  2012  |  29 000 км  |  1.6 MT (109 л.с.)хэтчбек, бензин, передний  | Владимир | 21.12.14
46203262-ca9f | http://is12.auto.ru/all/images/be/a3/60x45/bea30c05.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #CC0033 | 379 000 |  2009  |  39 000 км  |  1.6 MT (109 л.с.)универсал, бензин, передний  | Владимир | 21.12.14
1004966303-1562 | http://is1.auto.ru/all/images/3e/7d/60x45/3e7d1daf.jpg |  Chevrolet Lacetti1.6 AT (109 л.с.)  | #FF0000 | 294 780 |  2007  |  122 977 км  |  1.6 AT (109 л.с.)седан, бензин, передний  | Москва | 22.12.14
1004142865-eacb | http://is13.auto.ru/all/images/b7/90/60x45/b79027a0.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #CACECB | 384 540 |  2011  |  70 564 км  |  1.6 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 22.12.14
1005566261-deab | http://is16.auto.ru/all/images/a3/3a/60x45/a33a2a39.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #0088ff | 400 000 |  2010  |  33 000 км  |  1.6 MT (109 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.12.14
1005568779-1dd605 | http://is1.auto.ru/all/images/42/7a/60x45/427a94fb.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #0000FF | 285 000 |  2008  |  137 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Тверь | 23.12.14
1005570341-eface | http://is10.auto.ru/all/images/23/a3/60x45/23a3742f.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #FF0000 | 280 000 |  2007  |  60 000 км  |  1.6 MT (109 л.с.)универсал, бензин, передний  | Энгельс | 23.12.14
1005581165-81a81 | http://is18.auto.ru/all/images/50/a1/60x45/50a1da59.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #CACECB | 310 000 |  2007  |  116 000 км  |  1.6 MT (109 л.с.)универсал, бензин, передний  | Вязники | 23.12.14
1005582049-353156 | /i/all7/img/no-photo-thumb.gif |  Chevrolet Lacetti1.6 AT (109 л.с.)  | #000000 | 305 000 |  2007  |  90 000 км  |  1.6 AT (109 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005582341-5772 | /i/all7/img/no-photo-thumb.gif |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #000000 | 325 000 |  2011  |  100 000 км  |  1.6 MT (109 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.12.14
1005585797-2daef | http://is11.auto.ru/all/images/f4/05/60x45/f4053658.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #0088ff | 295 000 |  2010  |  61 000 км  |  1.4 MT (94 л.с.)хэтчбек, бензин, передний  | Пенза | 23.12.14
1005586045-f2675a | http://is4.auto.ru/all/images/94/59/60x45/9459b68d.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #0000FF | 310 000 |  2007  |  90 000 км  |  1.4 MT (94 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005586553-6d526f | /i/all7/img/no-photo-thumb.gif |  Chevrolet Lacetti1.8 MT (122 л.с.)  | #fde910 | 275 000 |  2008  |  150 000 км  |  1.8 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.12.14
1005586661-cfb8 | http://is17.auto.ru/all/images/97/4d/60x45/974d673f.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #FF0000 | 315 000 |  2008  |  130 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Саратов | 23.12.14
1005587097-e67c | http://is6.auto.ru/all/images/83/a5/60x45/83a5ebdd.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #000000 | 350 000 |  2007  |  110 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Дмитров | 23.12.14
1005587617-c78e | http://is14.auto.ru/all/images/d3/54/60x45/d354fc6d.jpg |  Chevrolet Lacetti1.6 MT (109 л.с.)  | #FF0000 | 390 000 |  2012  |  29 000 км  |  1.6 MT (109 л.с.)седан, бензин, передний  | Тверь | 23.12.14
1004545513-32dcd | http://is10.auto.ru/all/images/2f/a6/60x45/2fa69458.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #FFFFFF | 360 000 |  2010  |  55 000 км  |  1.4 MT (94 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 23.12.14
1005589033-9b84 | http://is8.auto.ru/all/images/bc/23/60x45/bc23efda.jpg |  Chevrolet Lacetti1.4 MT (94 л.с.)  | #FF0000 | 315 000 |  2008  |  97 000 км  |  1.4 MT (94 л.с.)хэтчбек, бензин, передний  | Воронеж | 24.12.14
