1007256331-ecc78 | http://is15.auto.ru/all/images/51/b6/60x45/51b636f9.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 450 000 |  2006  |  93 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007300811-7dc5 | http://is18.auto.ru/all/images/07/4e/60x45/074e7ea7.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 455 000 |  2007  |  150 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Дзержинск | 23.01.15
1007300793-29b3be | http://is17.auto.ru/all/images/77/96/60x45/7796226e.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #9c9999 | 98 000 |  1995  |  160 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1002817179-9b52ea | http://is18.auto.ru/all/images/e9/7b/60x45/e97b8991.jpg |  Honda Civic VI1.6 MT (125 л.с.)  | #fde910 | 180 000 |  1998  |  260 000 км  |  1.6 MT (125 л.с.)седан, бензин, передний  | Ярославль | 23.01.15
1007283217-4a55f7 | http://is16.auto.ru/all/images/1a/76/60x45/1a76abd4.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 570 000 |  2010  |  62 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007300029-3ef3 | http://is5.auto.ru/all/images/4d/31/60x45/4d31a126.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 470 000 |  2007  |  210 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007296141-3c9dc | http://is9.auto.ru/all/images/2c/e9/60x45/2ce91326.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #0000FF | 475 000 |  2008  |  153 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Ростов-на-Дону | 23.01.15
1006625941-2c4d | http://is17.auto.ru/all/images/40/a2/60x45/40a277e5.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #000000 | 420 000 |  2008  |  111 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Иваново | 23.01.15
1007299917-32bc2f | http://is1.auto.ru/all/images/8d/42/60x45/8d429870.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FF0000 | 770 000 |  2012  |  40 551 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007112761-fbd087 | http://is5.auto.ru/all/images/86/1b/60x45/861be0c0.jpg |  Honda Civic VI1.6 MT (160 л.с.)  | #000000 | 150 000 Правый руль |  1997  |  1 км  |  1.6 MT (160 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005856363-0502 | http://is1.auto.ru/all/images/c4/89/60x45/c489ee1b.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 600 000 |  2007  |  99 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007247515-262d03 | http://is17.auto.ru/all/images/4f/32/60x45/4f32ab8f.jpg |  Honda Civic VI1.5 AT (115 л.с.)  | #0000FF | 210 000 |  2001  |  135 000 км  |  1.5 AT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007298939-901f | http://is14.auto.ru/all/images/93/f5/60x45/93f5f81a.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FF0000 | 770 000 |  2012  |  40 551 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1005692131-a71d0 | http://is1.auto.ru/all/images/de/c4/60x45/dec45551.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0088ff | 505 582 |  2009  |  93 264 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007157315-60fb1 | http://is15.auto.ru/all/images/cd/01/60x45/cd01419b.jpg |  Honda Civic VI1.4 MT (75 л.с.)  | #FF0000 | 115 000 |  1995  |  267 777 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
