1007177325-324bb | http://is3.auto.ru/all/images/9d/59/60x45/9d5933a8.jpg |  Honda CR-V IV2.0 AT (150 л.с.)  | #926547 | 1 250 000 |  2013  |  47 000 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007236885-70097d | /i/all7/img/no-photo-thumb.gif |  Honda CR-V IIIAT 4WD  | #9c9999 | 870 000 |  2008  |  170 000 км  |  AT 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007300641-dc1be0 | http://is7.auto.ru/all/images/db/f0/60x45/dbf0f5a4.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #926547 | 1 600 000 |  2012  |  77 600 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1007215335-b33d8 | http://is8.auto.ru/all/images/5c/d3/60x45/5cd3aaac.jpg |  Honda CR-V I Рестайлинг2.0 MT (147 л.с.)  | #0000FF | 299 888 |  2002  |  150 000 км  |  2.0 MT (147 л.с.)внедорожник, бензин, передний  | Санкт-Петербург | 23.01.15
1007104071-1719b | http://is6.auto.ru/all/images/33/38/60x45/3338e9f9.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #9c9999 | 1 400 000 |  2012  |  35 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007294397-d605f8 | http://is9.auto.ru/all/images/47/1b/60x45/471b5307.jpg |  Honda CR-V II Рестайлинг2.0 MT (150 л.с.) 4WD  | #FFCC00 | 625 000 |  2005  |  71 606 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282905-98f6 | http://is8.auto.ru/all/images/fe/00/60x45/fe0096cc.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.)  | #FFFFFF | 355 000 |  2001  |  156 780 км  |  2.0 AT (147 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007283627-1575 | http://is15.auto.ru/all/images/87/7d/60x45/877d8d75.jpg |  Honda CR-V I2.0 AT (128 л.с.)  | #34ba2b | 315 000 |  1999  |  136 000 км  |  2.0 AT (128 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007282861-5f709 | http://is9.auto.ru/all/images/0a/05/60x45/0a053a11.jpg |  Honda CR-V I Рестайлинг2.0 MT (147 л.с.) 4WD  | #0000FF | 260 000 |  1999  |  137 000 км  |  2.0 MT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283075-36167 | http://is11.auto.ru/all/images/46/86/60x45/46860ba0.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #34ba2b | 290 000 |  1999  |  125 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007298913-a2d7a | /i/all7/img/no-photo-thumb.gif |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #000000 | 715 000 |  2007  |  115 700 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Новоуральск | 23.01.15
1005692259-01cf2 | http://is7.auto.ru/all/images/20/7f/60x45/207fb250.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #34ba2b | 305 000 |  1999  |  153 234 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005692193-d09b74 | http://is6.auto.ru/all/images/a2/ec/60x45/a2ecc6f6.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #34ba2b | 734 581 |  2008  |  74 194 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007264815-78d236 | http://is13.auto.ru/all/images/b7/2b/60x45/b72bfc62.jpg |  Honda CR-V IV2.0 AT (150 л.с.) 4WD  | #000000 | 1 590 000 |  2014  |  10 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007148319-8b0c4 | http://is8.auto.ru/all/images/25/9c/60x45/259c0563.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #0000FF | 277 777 Правый руль |  1999  |  133 750 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007298111-1b7a7 | http://is8.auto.ru/all/images/8e/2a/60x45/8e2ac8b2.jpg |  Honda CR-V II Рестайлинг2.4 MT (162 л.с.) 4WD  | #0000FF | 505 000 |  2004  |  100 000 км  |  2.4 MT (162 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
47771174-669f | http://is3.auto.ru/all/images/64/ee/60x45/64ee1633.jpg |  Honda CR-V II2.4 AT (162 л.с.) 4WD  | #000000 | 520 000 |  2003  |  104 090 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Ногинск | 23.01.15
1007185867-d9f4 | http://is2.auto.ru/all/images/e3/dc/60x45/e3dca68b.jpg |  Honda CR-V III Рестайлинг2.0 AT (150 л.с.) 4WD  | #FFFFFF | 1 160 000 |  2012  |  85 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005241587-9ccd5 | http://is18.auto.ru/all/images/1a/07/60x45/1a079674.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #000000 | 849 000 |  2007  |  80 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005241585-bf849 | http://is15.auto.ru/all/images/e7/e2/60x45/e7e20519.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #34ba2b | 899 000 |  2007  |  55 608 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005241589-8c02c | http://is18.auto.ru/all/images/76/34/60x45/7634d597.jpg |  Honda CR-V III Рестайлинг2.0 AT (150 л.с.) 4WD  | #FF0000 | 899 000 |  2009  |  75 897 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007296555-08c0f | http://is8.auto.ru/all/images/8f/7a/60x45/8f7ac224.jpg |  Honda CR-V II2.4 AT (162 л.с.) 4WD  | #000000 | 530 000 |  2004  |  150 000 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005332391-65979f | http://is16.auto.ru/all/images/fe/c2/60x45/fec28932.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #9c9999 | 950 000 |  2007  |  140 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007297205-e107 | http://is2.auto.ru/all/images/a8/96/60x45/a896792e.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #9c9999 | 920 000 |  2009  |  44 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 23.01.15
1007295793-74b2 | http://is16.auto.ru/all/images/9f/5d/60x45/9f5d8e66.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #FF0000 | 1 050 000 |  2010  |  68 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1003701700-a7e8 | http://is5.auto.ru/all/images/75/cb/60x45/75cb0d51.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #000000 | 1 150 000 |  2010  |  34 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283261-a4699 | http://is8.auto.ru/all/images/d9/9c/60x45/d99c97f3.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #FFCC00 | 335 000 |  2001  |  95 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007254995-218b | http://is4.auto.ru/all/images/f9/85/60x45/f9855860.jpg |  Honda CR-V IV2.4 AT (190 л.с.) 4WD  | #9c9999 | 2 000 000 |  2014  |  3 500 км  |  2.4 AT (190 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007099365-476a0f | http://is5.auto.ru/all/images/ba/a1/60x45/baa1aea7.jpg |  Honda CR-V II2.4 AT (162 л.с.) 4WD  | #926547 | 435 000 |  2002  |  170 000 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
50391526-04dd | http://is18.auto.ru/all/images/4a/14/60x45/4a14ee7b.jpg |  Honda CR-V II Рестайлинг2.4 MT (162 л.с.) 4WD  | #CACECB | 545 000 |  2005  |  150 000 км  |  2.4 MT (162 л.с.) 4WDвнедорожник, бензин, полный  | Киров | 23.01.15
1007233657-1802 | http://is7.auto.ru/all/images/f2/b6/60x45/f2b69101.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #FF0000 | 870 000 |  2008  |  137 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005642097-abe3 | http://is10.auto.ru/all/images/63/3d/60x45/633d9e8d.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #0000FF | 1 450 000 |  2011  |  46 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1004841549-0757c5 | http://is14.auto.ru/all/images/8b/43/60x45/8b43a98c.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #0000FF | 1 150 000 |  2008  |  57 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007295597-5eb1 | http://is9.auto.ru/all/images/5b/fb/60x45/5bfb6b03.jpg |  Honda CR-V II2.0 AT (150 л.с.) 4WD  | #0088ff | 499 000 |  2003  |  115 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 23.01.15
1007294939-761b | http://is15.auto.ru/all/images/99/aa/60x45/99aabec2.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #000000 | 400 000 |  1999  |  203 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Жирятино | 23.01.15
1007113329-3870 | http://is7.auto.ru/all/images/4f/1c/60x45/4f1c3692.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #CC0033 | 830 000 |  2008  |  74 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1006410561-50f22 | http://is12.auto.ru/all/images/a1/17/60x45/a117cd78.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #FFFFFF | 275 000 |  1999  |  139 000 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007255293-1c0d | http://is18.auto.ru/all/images/01/b6/60x45/01b6562d.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #9c9999 | 1 050 000 |  2008  |  83 500 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006796791-06d083 | http://is11.auto.ru/all/images/3e/0c/60x45/3e0c8dc6.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #926547 | 1 150 000 |  2010  |  102 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
