1004218769-52fc4 | http://is12.auto.ru/all/images/b4/06/60x45/b406b734.jpg |  Hyundai Accent II1.5 MT (102 л.с.)  | #CACECB | 219 000 |  2003  |  117 000 км  |  1.5 MT (102 л.с.)седан, бензин, передний  | Москва | 17.12.14
1004841151-5245 | http://is1.auto.ru/all/images/e6/f6/60x45/e6f6ee6c.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 320 000 |  2008  |  160 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Ростов-на-Дону | 18.12.14
1005377109-d64c | http://is18.auto.ru/all/images/77/a8/60x45/77a80ac3.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 225 000 |  2007  |  85 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Ижевск | 20.12.14
1005382553-5b90bb | http://is3.auto.ru/all/images/92/9d/60x45/929d82c6.jpg |  Hyundai Accent II (ТагАЗ)1.5 AT (102 л.с.) Tagaz  | #9c9999 | 310 000 |  2008  |  77 000 км  |  1.5 AT (102 л.с.) Tagazседан, бензин, передний  | Нижний Новгород | 20.12.14
1002925036-93424c | http://is17.auto.ru/all/images/23/16/60x45/23160171.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #9c9999 | 295 000 |  2009  |  48 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Владимир | 22.12.14
1005571871-84fe | http://is2.auto.ru/all/images/b6/f0/60x45/b6f0c70e.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #ffefd5 | 230 000 |  2005  |  81 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Дзержинск | 23.12.14
1005572339-75b137 | http://is10.auto.ru/all/images/36/8c/60x45/368c400d.jpg |  Hyundai Accent II (ТагАЗ)1.5 AT (102 л.с.) Tagaz  | #9c9999 | 350 000 |  2008  |  54 300 км  |  1.5 AT (102 л.с.) Tagazседан, бензин, передний  | Москва | 23.12.14
1005576605-c9c3a | /i/all7/img/no-photo-thumb.gif |  Hyundai Accent III1.5 AT (102 л.с.)  | #0000FF | 230 000 |  2008  |  80 000 км  |  1.5 AT (102 л.с.)седан, бензин, передний  | Нижний Новгород | 23.12.14
1005577875-08fb | http://is7.auto.ru/all/images/8f/65/60x45/8f6574e0.jpg |  Hyundai Accent II1.5 MT (102 л.с.)  | #9c9999 | 170 000 |  2003  |  250 000 км  |  1.5 MT (102 л.с.)седан, бензин, передний  | Калуга | 23.12.14
1005579653-ee928 | http://is5.auto.ru/all/images/eb/9b/60x45/eb9bc21c.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 158 000 |  2005  |  139 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Выкса | 23.12.14
1005585637-b7e5a3 | http://is9.auto.ru/all/images/4c/0d/60x45/4c0de55f.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #CACECB | 249 999 |  2006  |  155 223 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Москва | 23.12.14
1005585167-47ceb | http://is3.auto.ru/all/images/05/64/60x45/05642f33.jpg |  Hyundai Accent II (ТагАЗ)1.5 AT (102 л.с.) Tagaz  | #FF0000 | 210 000 |  2005  |  95 000 км  |  1.5 AT (102 л.с.) Tagazседан, бензин, передний  | Дятьково | 23.12.14
