46255136-46496 | http://is3.auto.ru/all/images/3f/02/60x45/3f029583.jpg |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #000000 | 640 000 |  2007  |  124 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 21.11.14
1002478307-8fe74c | http://is18.auto.ru/all/images/a7/3d/60x45/a73d7367.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #000000 | 750 000 |  2008  |  97 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.11.14
47542010-bcb5a | http://is2.auto.ru/all/images/fb/c9/60x45/fbc952bc.jpg |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #ffefd5 | 615 000 |  2007  |  74 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 19.12.14
38 | http://is5.auto.ru/all/images/1f/f6/60x45/1ff67193.jpg |  Hyundai Santa Fe III2.2d AT (197 л.с.) 4WD  | #FFFFFF | 1 900 000 |  2013  |  1 111 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 21.12.14
1005574301-eed4e | http://is17.auto.ru/all/images/b4/86/60x45/b486c17f.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.) 4WD  | #ffefd5 | 620 000 |  2008  |  158 000 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Уфа | 23.12.14
1005582397-c08a1c | http://is2.auto.ru/all/images/9d/c6/60x45/9dc6b329.jpg |  Hyundai Santa Fe I2.4 AT (150 л.с.)  | #FF0000 | 400 000 |  2004  |  130 000 км  |  2.4 AT (150 л.с.)внедорожник, бензин, передний  | Можайск | 23.12.14
1005585093-1aca | /i/all7/img/no-photo-thumb.gif |  Hyundai Santa Fe I2.4 AT (146 л.с.)  | #CC0033 | 370 000 |  2004  |  200 000 км  |  2.4 AT (146 л.с.)внедорожник, бензин, передний  | Смоленск | 23.12.14
1005586249-cd17 | http://is8.auto.ru/all/images/21/47/60x45/2147e9e9.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #000000 | 750 000 |  2006  |  135 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Петрозаводск | 23.12.14
1005586317-b7d4d8 | http://is8.auto.ru/all/images/2d/a5/60x45/2da5e717.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.)  | #0000FF | 425 000 |  2004  |  149 000 км  |  2.7 AT (173 л.с.)внедорожник, бензин, передний  | Кольчугино | 23.12.14
1005632037-030650 | /i/all7/img/no-photo-thumb.gif |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #9c9999 | 1 180 000 |  2011  |  67 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005582993-79a3c9 | http://is17.auto.ru/all/images/6f/5e/60x45/6f5eaa80.jpg |  Hyundai Santa Fe I Classic2.0d AT (112 л.с.) 4WD  | #000000 | 600 000 |  2008  |  90 000 км  |  2.0d AT (112 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 24.12.14
1005632729-ce85 | /i/all7/img/no-photo-thumb.gif |  Hyundai Santa Fe III2.2d AT (197 л.с.) 4WD  | #000000 | 1 750 000 |  2012  |  43 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 24.12.14
