1003417536-2f9b | http://is17.auto.ru/all/images/d2/c4/60x45/d2c44763.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #CACECB | 468 000 |  2013  |  4 690 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Астрахань | 21.11.14
1004843981-2cfc8d | http://is3.auto.ru/all/images/ce/95/60x45/ce9570e8.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #FFFFFF | 499 750 |  2013  |  67 758 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.12.14
1003075858-7fb9 | http://is3.auto.ru/all/images/61/2b/60x45/612b3bcd.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #000000 | 530 000 |  2013  |  30 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Красноярск | 18.12.14
47626420-dcb05 | http://is9.auto.ru/all/images/7d/e4/60x45/7de46f41.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9966CC | 535 000 |  2012  |  33 602 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Владимир | 20.12.14
1005383667-23202 | http://is17.auto.ru/all/images/35/68/60x45/3568bc14.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9966CC | 505 000 |  2011  |  64 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Тула | 20.12.14
1004896005-604c | http://is4.auto.ru/all/images/22/f9/60x45/22f9b057.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #ffefd5 | 460 000 |  2012  |  24 000 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.12.14
1004088666-49995 | http://is2.auto.ru/all/images/f4/d7/60x45/f4d7d610.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #000000 | 646 680 |  2013  |  19 953 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1004622599-17005 | http://is17.auto.ru/all/images/ac/04/60x45/ac04b304.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #CACECB | 606 900 |  2012  |  62 630 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005574125-b73821 | http://is4.auto.ru/all/images/46/71/60x45/46712c5b.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #9966CC | 465 000 Правый руль |  2011  |  78 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Тула | 23.12.14
1005578937-850505 | http://is17.auto.ru/all/images/7c/dc/60x45/7cdcc955.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 575 000 |  2013  |  18 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005580883-d463c | http://is2.auto.ru/all/images/a1/dd/60x45/a1dd5073.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 649 000 |  2013  |  22 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1005584835-99a75 | http://is3.auto.ru/all/images/d8/2e/60x45/d82e71a8.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #ffefd5 | 570 000 |  2012  |  23 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Славянка | 23.12.14
1005586213-530279 | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.4 AT (107 л.с.)  | #000000 | 540 000 |  2011  |  20 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Брянск | 23.12.14
