1007255473-928d | http://is8.auto.ru/all/images/f9/ed/60x45/f9edc7da.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 455 000 |  2011  |  98 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Протвино | 23.01.15
1007292919-e5bc1 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 417 777 |  2008  |  85 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292511-71fae | http://is4.auto.ru/all/images/ac/94/60x45/ac948bde.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 450 000 |  2010  |  75 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292523-ac736c | http://is16.auto.ru/all/images/af/98/60x45/af985346.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #0000FF | 555 000 |  2012  |  42 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292513-2547 | http://is3.auto.ru/all/images/be/91/60x45/be9112d4.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 575 000 |  2012  |  45 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292199-b4bed | http://is2.auto.ru/all/images/ad/f7/60x45/adf75200.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 430 000 |  2009  |  88 100 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292097-91f34 | http://is18.auto.ru/all/images/a3/db/60x45/a3dbae1d.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 435 000 |  2010  |  60 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292091-38b3 | http://is9.auto.ru/all/images/6b/a0/60x45/6ba00e01.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 500 000 |  2010  |  42 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292111-7fa4 | http://is3.auto.ru/all/images/b5/ab/60x45/b5ab5c41.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 555 000 |  2012  |  53 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292089-71b6a0 | http://is2.auto.ru/all/images/89/f2/60x45/89f22969.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 445 000 |  2009  |  43 500 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292041-b5b519 | http://is7.auto.ru/all/images/4f/8f/60x45/4f8fcfeb.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 460 000 |  2010  |  47 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
