1004491175-3641e | http://is7.auto.ru/all/images/2e/34/60x45/2e34e030.jpg |  Kia Rio III1.4 AT (107 л.с.)  | #ffefd5 | 410 000 |  2012  |  38 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004336213-14870c | http://is17.auto.ru/all/images/53/2f/60x45/532f7528.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #9c9999 | 540 000 |  2012  |  95 000 км  |  1.6 MT (123 л.с.) 5-speedседан, бензин, передний  | Реутов | 23.01.15
1007301277-45c1 | http://is6.auto.ru/all/images/91/2e/60x45/912e7429.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #9c9999 | 509 000 |  2012  |  32 000 км  |  1.6 MT (123 л.с.) 5-speedседан, бензин, передний  | Москва | 23.01.15
1007299845-73897 | /i/all7/img/no-photo-thumb.gif |  Kia Rio III1.4 AT (107 л.с.)  | #CACECB | 530 000 |  2013  |  15 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007255055-5051 | http://is2.auto.ru/all/images/59/ac/60x45/59ac2ee4.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #CACECB | 390 000 |  2010  |  60 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Брянск | 23.01.15
1007300469-5d542 | http://is4.auto.ru/all/images/96/d9/60x45/96d9a6c6.jpg |  Kia Rio III1.4 AT (107 л.с.)  | #9c9999 | 400 000 |  2012  |  48 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007240901-3d62 | http://is18.auto.ru/all/images/f8/4b/60x45/f84b170c.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #FF0000 | 377 777 |  2011  |  60 127 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006923505-7ac6a | http://is11.auto.ru/all/images/dc/a8/60x45/dca831d5.jpg |  Kia Rio I1.5 MT (97 л.с.)  | #ffefd5 | 197 777 |  2005  |  134 700 км  |  1.5 MT (97 л.с.)универсал, бензин, передний  | Киров | 23.01.15
1007232339-bf247 | http://is1.auto.ru/all/images/c7/ae/60x45/c7ae0d49.jpg |  Kia Rio III1.4 MT (107 л.с.)  | #FFFFFF | 480 000 |  2012  |  116 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1007299521-8b5c6 | http://is18.auto.ru/all/images/53/99/60x45/5399382f.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #926547 | 464 000 |  2012  |  80 000 км  |  1.6 MT (123 л.с.) 5-speedхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007299549-822a | http://is9.auto.ru/all/images/e2/11/60x45/e211f1a6.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #CACECB | 600 000 |  2014  |  32 000 км  |  1.6 MT (123 л.с.) 5-speedседан, бензин, передний  | Доброе | 23.01.15
