1007300305-f517ad | http://is2.auto.ru/all/images/ab/72/60x45/ab728d92.jpg |  Kia Sorento I3.5 AT (195 л.с.) 4WD  | #34ba2b | 420 000 |  2002  |  145 000 км  |  3.5 AT (195 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 23.01.15
1007300769-4a2cf5 | http://is9.auto.ru/all/images/2a/5d/60x45/2a5df74a.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #CACECB | 710 000 |  2009  |  109 900 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Сестрорецк | 23.01.15
1007301047-6faf | http://is6.auto.ru/all/images/ff/66/60x45/ff66eeed.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #9c9999 | 799 000 |  2007  |  110 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Иркутск | 23.01.15
1007287069-98dda | http://is2.auto.ru/all/images/72/88/60x45/728889ea.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 699 999 |  2009  |  78 596 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007255377-ecd8 | http://is5.auto.ru/all/images/38/f4/60x45/38f4f71a.jpg |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.) 4WD  | #926547 | 1 499 000 |  2013  |  14 500 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Мытищи | 23.01.15
1007299993-09b479 | http://is11.auto.ru/all/images/72/e6/60x45/72e6c6a6.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #9c9999 | 1 995 000 |  2014  |  1 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007047793-4c34 | http://is17.auto.ru/all/images/e9/46/60x45/e9467991.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #9c9999 | 1 449 999 |  2012  |  30 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007153543-2133f8 | http://is7.auto.ru/all/images/3a/d6/60x45/3ad6893a.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #926547 | 1 075 000 |  2010  |  39 624 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282927-fe041 | http://is8.auto.ru/all/images/45/cb/60x45/45cb8836.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #926547 | 1 190 000 |  2011  |  40 235 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007223211-fbf918 | http://is6.auto.ru/all/images/93/96/60x45/93967333.jpg |  Kia Sorento I2.5d AT (140 л.с.) 4WD  | #000000 | 644 444 |  2006  |  92 000 км  |  2.5d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007298107-7547e0 | http://is18.auto.ru/all/images/75/c6/60x45/75c61e7d.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #CACECB | 445 000 |  2005  |  190 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Нижняя Тура | 23.01.15
