1007301549-1cf1 | http://is17.auto.ru/all/images/51/c5/60x45/51c566fe.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 245 000 |  2007  |  110 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
40241398-7ef582 | http://is7.auto.ru/all/images/23/9e/60x45/239ea255.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 200 006 |  2009  |  114 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007252637-17a2 | http://is9.auto.ru/all/images/b9/f4/60x45/b9f4aac4.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 355 000 |  2011  |  58 500 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007299643-8cdf | http://is15.auto.ru/all/images/36/b6/60x45/36b6aac1.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  78 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007104269-f320a7 | http://is9.auto.ru/all/images/61/19/60x45/6119fd09.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  85 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007253513-0c547 | http://is9.auto.ru/all/images/08/ba/60x45/08ba843d.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 249 000 |  2006  |  155 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007281151-8d3b | http://is10.auto.ru/all/images/58/71/60x45/5871f2c8.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #9c9999 | 235 000 |  2009  |  75 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297881-25d6f | http://is13.auto.ru/all/images/43/da/60x45/43da1fa6.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 225 000 |  2007  |  78 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003966170-2fbb94 | http://is4.auto.ru/all/images/ff/3d/60x45/ff3da4d9.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 282 000 |  2010  |  39 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297215-d36bdf | http://is13.auto.ru/all/images/ec/e1/60x45/ece1e367.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #9966CC | 245 000 |  2006  |  97 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007282453-6a533 | http://is14.auto.ru/all/images/57/65/60x45/5765c5ef.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #FF0000 | 260 000 |  2009  |  51 125 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007295871-7a730 | http://is13.auto.ru/all/images/4b/40/60x45/4b40f48c.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 250 000 |  2008  |  105 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Саранск | 23.01.15
1006983619-58c2e | http://is8.auto.ru/all/images/41/2c/60x45/412cb064.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 210 000 |  2008  |  133 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007097847-3959b | http://is8.auto.ru/all/images/98/b3/60x45/98b36685.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 195 000 |  2007  |  51 500 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Покров | 23.01.15
1005862811-26b1bf | http://is1.auto.ru/all/images/3b/cc/60x45/3bcc0fc5.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 218 000 |  2007  |  78 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005173865-16e8c | http://is8.auto.ru/all/images/af/38/60x45/af389e3b.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 285 000 |  2008  |  81 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Тула | 23.01.15
1005861231-77579 | http://is12.auto.ru/all/images/ca/3f/60x45/ca3fdf05.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 300 000 |  2007  |  78 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006796503-4204 | http://is11.auto.ru/all/images/e3/94/60x45/e394c061.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 285 000 |  2008  |  55 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Тверь | 23.01.15
1005862743-d551 | http://is17.auto.ru/all/images/71/4a/60x45/714a823e.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CACECB | 245 000 |  2008  |  115 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007251317-a380f2 | http://is4.auto.ru/all/images/00/d8/60x45/00d86bec.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 229 000 |  2007  |  100 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1005919685-a68025 | http://is13.auto.ru/all/images/c1/4d/60x45/c14db809.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CC0033 | 285 000 |  2009  |  78 500 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007290299-33df | http://is10.auto.ru/all/images/b9/1b/60x45/b91b458e.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CACECB | 245 000 |  2007  |  91 123 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004459167-8e88f3 | http://is16.auto.ru/all/images/f7/1c/60x45/f71c3872.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 235 000 |  2008  |  80 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006129815-13993 | http://is13.auto.ru/all/images/ed/10/60x45/ed104bde.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 235 000 |  2008  |  75 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006414697-1eb4dd | http://is18.auto.ru/all/images/42/9e/60x45/429eb67c.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 245 000 |  2007  |  133 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Ейск | 23.01.15
1007293887-91a94 | http://is9.auto.ru/all/images/b7/b1/60x45/b7b1dde7.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #FFFFFF | 205 000 |  2006  |  206 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005391209-2e3f6b | http://is5.auto.ru/all/images/5a/18/60x45/5a182de9.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #FFCC00 | 265 000 |  2008  |  78 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1005639457-c51f | http://is6.auto.ru/all/images/16/9e/60x45/169ef372.jpg |  Kia Spectra1.8 AT (126 л.с.)  | #000000 | 145 000 |  2000  |  180 000 км  |  1.8 AT (126 л.с.)седан, бензин, передний  | Новохоперск | 23.01.15
1007292435-c60ae | http://is2.auto.ru/all/images/52/1f/60x45/521fe90f.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 220 000 |  2006  |  156 400 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292975-4eb6 | http://is14.auto.ru/all/images/33/82/60x45/33827d15.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 299 999 |  2010  |  80 539 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292783-fb65cf | http://is18.auto.ru/all/images/c6/c6/60x45/c6c69b4d.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 333 000 |  2008  |  42 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292271-dacb7 | http://is5.auto.ru/all/images/d7/25/60x45/d7251379.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 238 888 |  2008  |  78 488 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292059-530ed4 | http://is3.auto.ru/all/images/eb/56/60x45/eb561fc4.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #9c9999 | 220 000 |  2005  |  97 125 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291925-39a64 | http://is5.auto.ru/all/images/88/2b/60x45/882b51f8.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 250 000 |  2009  |  72 548 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291719-696c1 | http://is6.auto.ru/all/images/1c/d1/60x45/1cd16783.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  109 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291385-fc5e | http://is2.auto.ru/all/images/f3/7c/60x45/f37c8253.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 235 000 |  2008  |  70 100 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291403-43ac61 | http://is1.auto.ru/all/images/18/58/60x45/18583742.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CACECB | 250 000 |  2008  |  69 700 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290829-763dd5 | http://is8.auto.ru/all/images/06/83/60x45/0683195c.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #FF0000 | 240 000 |  2009  |  86 100 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290895-ea5ec1 | http://is4.auto.ru/all/images/c7/af/60x45/c7afdbcb.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 280 000 |  2009  |  90 800 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290609-b6d1 | http://is9.auto.ru/all/images/d3/f0/60x45/d3f03b4d.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  63 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290607-9b5441 | http://is2.auto.ru/all/images/85/71/60x45/85719c0b.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #000000 | 285 000 |  2008  |  47 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290383-863f57 | http://is6.auto.ru/all/images/c5/31/60x45/c5312246.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  92 583 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290417-4d98f | http://is8.auto.ru/all/images/20/05/60x45/20057f1a.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 235 000 |  2009  |  82 435 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290371-f4cfed | http://is16.auto.ru/all/images/73/31/60x45/73316fa6.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 240 000 |  2009  |  73 540 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290415-82d4 | http://is9.auto.ru/all/images/f1/d6/60x45/f1d6deec.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 240 000 |  2009  |  78 465 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290397-fe39 | http://is17.auto.ru/all/images/88/6e/60x45/886edea3.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 245 000 |  2009  |  74 654 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
