1007292611-f8544 | http://is13.auto.ru/all/images/82/5a/60x45/825aed5a.jpg |  Kia Sportage I2.0 MT (128 л.с.)  | #CACECB | 290 000 |  2002  |  105 321 км  |  2.0 MT (128 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007292547-96ed3e | http://is17.auto.ru/all/images/2e/b9/60x45/2eb968e9.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #34ba2b | 625 000 |  2010  |  40 500 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007292453-a8cbd0 | http://is8.auto.ru/all/images/56/1a/60x45/561a58b9.jpg |  Kia Sportage I2.0 AT (128 л.с.) 4WD  | #CACECB | 270 000 |  2002  |  109 001 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291961-d85d79 | http://is11.auto.ru/all/images/32/b1/60x45/32b1e338.jpg |  Kia Sportage I2.0 AT (118 л.с.) 4WD  | #0000FF | 325 000 |  2004  |  89 547 км  |  2.0 AT (118 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291767-98c76f | http://is17.auto.ru/all/images/f7/af/60x45/f7afe915.jpg |  Kia Sportage I2.0 AT (128 л.с.) 4WD  | #0000FF | 230 000 |  2002  |  93 210 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291509-d866 | http://is1.auto.ru/all/images/16/d9/60x45/16d902ea.jpg |  Kia Sportage I2.0 MT (128 л.с.)  | #ffefd5 | 299 000 |  2006  |  98 000 км  |  2.0 MT (128 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007291513-0e164 | http://is6.auto.ru/all/images/ca/09/60x45/ca0907e2.jpg |  Kia Sportage II2.7 AT (175 л.с.) 4WD  | #CACECB | 550 000 |  2007  |  87 500 км  |  2.7 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291567-8eb7 | /i/all7/img/no-photo-thumb.gif |  Kia Sportage I2.0 MT (128 л.с.) 4WD  | #CACECB | 233 000 |  2005  |  112 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291241-8ffc | http://is6.auto.ru/all/images/19/e6/60x45/19e668bc.jpg |  Kia Sportage I2.0 AT (128 л.с.) 4WD  | #FF0000 | 265 000 |  2001  |  107 350 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291179-aa06 | http://is13.auto.ru/all/images/29/e4/60x45/29e4808c.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.)  | #0000FF | 679 000 |  2009  |  81 000 км  |  2.0 AT (142 л.с.)внедорожник, бензин, передний  | Санкт-Петербург | 23.01.15
1007290907-47a4 | http://is4.auto.ru/all/images/ec/88/60x45/ec8829de.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #FF9966 | 975 000 |  2013  |  36 100 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290687-4c1705 | http://is18.auto.ru/all/images/c9/1e/60x45/c91e2a56.jpg |  Kia Sportage I2.0 MT (118 л.с.) 4WD  | #FF0000 | 305 000 |  2003  |  97 600 км  |  2.0 MT (118 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290681-2cbed | http://is5.auto.ru/all/images/c4/93/60x45/c493990c.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.)  | #34ba2b | 525 000 |  2009  |  72 300 км  |  2.0 AT (142 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007290645-367c2 | http://is5.auto.ru/all/images/4b/9d/60x45/4b9d4df7.jpg |  Kia Sportage III2.0d AT (136 л.с.) 4WD  | #9c9999 | 1 195 000 |  2013  |  47 000 км  |  2.0d AT (136 л.с.) 4WDвнедорожник, дизель, полный  | Киров | 23.01.15
