1006181669-d9409 | http://is9.auto.ru/all/images/4f/27/60x45/4f27c734.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #CACECB | 550 000 |  2008  |  61 670 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240421-b5df3b | /i/all7/img/no-photo-thumb.gif |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #CACECB | 315 000 |  2009  |  57 000 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240201-c4a932 | http://is9.auto.ru/all/images/e5/01/60x45/e5019a02.jpg |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #9c9999 | 425 000 |  2008  |  78 000 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007219523-c6c2 | http://is2.auto.ru/all/images/64/0b/60x45/640b6f0b.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #CC0033 | 440 000 |  2008  |  80 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007236979-bcff | http://is12.auto.ru/all/images/34/94/60x45/349455c1.jpg |  Mazda 2 III (DJ)1.5 AT (90 л.с.)  | #0000FF | 800 000 |  2014  |  200 км  |  1.5 AT (90 л.с.)хэтчбек, бензин, передний  | Мытищи | 22.01.15
1007232675-5339 | http://is6.auto.ru/all/images/85/0b/60x45/850b00a0.jpg |  Mazda 2 II (DE)1.4 MT (86 л.с.)  | #34ba2b | 400 000 |  2007  |  111 888 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006572285-be8e4 | http://is12.auto.ru/all/images/ef/48/60x45/ef486a91.jpg |  Mazda 2 I (DY)1.4 MT (80 л.с.)  | #926547 | 240 000 |  2004  |  109 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Тверь | 22.01.15
1006360033-653d | http://is10.auto.ru/all/images/dd/b2/60x45/ddb28a7f.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #0088ff | 489 990 |  2010  |  82 100 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005241635-97238 | http://is14.auto.ru/all/images/a8/8a/60x45/a88a6be7.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #0000FF | 449 000 |  2008  |  68 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007140871-f65f58 | http://is17.auto.ru/all/images/96/1a/60x45/961a0b65.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #CACECB | 538 800 |  2008  |  85 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005074227-75ccda | http://is12.auto.ru/all/images/3b/ab/60x45/3babbffc.jpg |  Mazda 2 II (DE)1.4 MT (75 л.с.)  | #0000FF | 365 000 |  2008  |  72 687 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
