1007247903-2aa9 | http://is18.auto.ru/all/images/a4/1e/60x45/a41e0b39.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #9c9999 | 430 000 |  2008  |  86 000 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Москва | 22.01.15
1002168967-32c7 | http://is17.auto.ru/all/images/d8/76/60x45/d876e204.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #34ba2b | 389 000 |  2006  |  123 500 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Москва | 22.01.15
1007215739-ab08a3 | http://is11.auto.ru/all/images/d0/8b/60x45/d08b4143.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #0088ff | 377 000 |  2008  |  85 996 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007247523-965e1 | http://is12.auto.ru/all/images/b4/d6/60x45/b4d6cd0b.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #0088ff | 475 000 |  2009  |  125 000 км  |  2.0 MT (150 л.с.) 6-speedхэтчбек, бензин, передний  | Москва | 22.01.15
1007246863-3dfcd2 | http://is5.auto.ru/all/images/3a/3e/60x45/3a3edfd4.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #926547 | 465 000 |  2009  |  85 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242853-a2097 | http://is1.auto.ru/all/images/97/e0/60x45/97e09e59.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 355 000 |  2007  |  96 540 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005980137-9cfef | http://is11.auto.ru/all/images/86/57/60x45/86571e8c.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #CACECB | 530 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Казань | 22.01.15
1006801437-a49fcf | http://is15.auto.ru/all/images/67/da/60x45/67daa566.jpg |  Mazda 3 I (BK)2.0 MT (150 л.с.) 5-speed  | #34ba2b | 300 000 |  2004  |  131 000 км  |  2.0 MT (150 л.с.) 5-speedхэтчбек, бензин, передний  | Москва | 22.01.15
1007241003-62e4ce | http://is11.auto.ru/all/images/e3/05/60x45/e30576fe.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #FFFFFF | 659 000 |  2011  |  100 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242895-5439bf | http://is8.auto.ru/all/images/e6/26/60x45/e6267159.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #9c9999 | 428 000 |  2009  |  62 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007246783-85f8e | http://is14.auto.ru/all/images/20/7a/60x45/207a516f.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #0000FF | 410 000 |  2008  |  115 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Волгоград | 22.01.15
1007188763-5e3f3 | http://is13.auto.ru/all/images/d8/e7/60x45/d8e7d28c.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 425 000 |  2008  |  105 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007246095-88dd | http://is7.auto.ru/all/images/50/1a/60x45/501ad8c7.jpg |  Mazda 3 II (BL) Рестайлинг1.6 MT (105 л.с.)  | #FFFFFF | 620 000 |  2012  |  44 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Балаково | 22.01.15
1007217823-2bfb | http://is18.auto.ru/all/images/49/13/60x45/4913187a.jpg |  Mazda 3 II (BL)1.6 MT (105 л.с.)  | #CACECB | 360 000 |  2009  |  75 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007246221-9b4bd2 | http://is6.auto.ru/all/images/ad/6e/60x45/ad6e4128.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #CACECB | 319 000 |  2005  |  180 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Красноярск | 22.01.15
1006632211-e010d | http://is5.auto.ru/all/images/ca/3f/60x45/ca3fffd0.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #9966CC | 450 000 |  2008  |  82 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Иваново | 22.01.15
1007246283-dd55 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 I (BK) Рестайлинг2.0 AT (150 л.с.) 5-speed  | #926547 | 435 000 |  2008  |  115 000 км  |  2.0 AT (150 л.с.) 5-speedседан, бензин, передний  | Москва | 22.01.15
1006067489-3c7d2 | http://is13.auto.ru/all/images/3b/17/60x45/3b1735a4.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #CACECB | 350 000 |  2004  |  98 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007176417-c568cd | http://is15.auto.ru/all/images/34/85/60x45/3485f4a9.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #000000 | 330 000 |  2005  |  177 777 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007246055-cdb7b2 | http://is6.auto.ru/all/images/9b/f3/60x45/9bf331d0.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 385 000 |  2007  |  130 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007179207-8a654c | http://is10.auto.ru/all/images/a6/ad/60x45/a6adb48f.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #9c9999 | 435 000 |  2008  |  90 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006469885-8a3d74 | http://is10.auto.ru/all/images/4b/bc/60x45/4bbcc048.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF0000 | 460 000 |  2007  |  65 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003555680-d6242 | http://is2.auto.ru/all/images/45/94/60x45/45944170.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #FFFFFF | 749 000 |  2010  |  68 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Можайск | 22.01.15
1007245951-259b | http://is13.auto.ru/all/images/98/90/60x45/989005e9.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 603 000 |  2012  |  58 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245791-ceeb6 | http://is15.auto.ru/all/images/cf/59/60x45/cf59ad0f.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 440 000 |  2007  |  130 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Сочи | 22.01.15
1007245659-f04b49 | http://is17.auto.ru/all/images/aa/aa/60x45/aaaa0d68.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 576 000 |  2014  | Новый |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007245661-408f02 | http://is15.auto.ru/all/images/3b/a0/60x45/3ba0a887.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 632 000 |  2014  | Новый |  1.6 MT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004772711-ed22 | http://is7.auto.ru/all/images/68/7d/60x45/687d0c54.jpg |  Mazda 3 III1.6 AT (104 л.с.)  | #000000 | 920 000 |  2014  |  17 000 км  |  1.6 AT (104 л.с.)седан, бензин, передний  | Тверь | 22.01.15
1007114205-fb2fd9 | http://is10.auto.ru/all/images/56/7a/60x45/567a95f7.jpg |  Mazda 3 II (BL)2.0 AT (150 л.с.)  | #000000 | 490 000 |  2010  |  49 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007245537-720f | http://is4.auto.ru/all/images/cc/f1/60x45/ccf17ac9.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #CACECB | 380 000 |  2008  |  115 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245469-9ee19a | http://is13.auto.ru/all/images/95/64/60x45/9564563d.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #000000 | 385 000 |  2007  |  87 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Саранск | 22.01.15
1006936675-99d068 | http://is3.auto.ru/all/images/d9/aa/60x45/d9aaa9db.jpg |  Mazda 3 I (BK)1.6 AT (105 л.с.)  | #0000FF | 325 000 |  2005  |  130 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006807703-d6e181 | http://is2.auto.ru/all/images/ca/f0/60x45/caf0c800.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 550 000 |  2008  |  148 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 22.01.15
1006989559-11a34 | http://is16.auto.ru/all/images/f8/c0/60x45/f8c06c25.jpg |  Mazda 3 III1.6 AT (104 л.с.)  | #000000 | 905 000 |  2014  |  8 600 км  |  1.6 AT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006264657-3e94 | http://is5.auto.ru/all/images/5a/81/60x45/5a811dd4.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #0088ff | 320 000 |  2005  |  122 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007188873-4a1eb | http://is16.auto.ru/all/images/9a/63/60x45/9a6309ec.jpg |  Mazda 3 I (BK) Рестайлинг2.0 AT (150 л.с.) 5-speed  | #000000 | 384 000 |  2008  |  68 000 км  |  2.0 AT (150 л.с.) 5-speedхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007110363-1405 | http://is18.auto.ru/all/images/8f/8d/60x45/8f8dc666.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 435 000 |  2008  |  57 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007110297-8ffb | http://is9.auto.ru/all/images/be/a9/60x45/bea9e2f7.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 435 000 |  2008  |  57 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Мытищи | 22.01.15
1007147523-75b5 | http://is15.auto.ru/all/images/3c/f1/60x45/3cf111a6.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF9966 | 399 999 |  2009  |  88 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
49266452-0819 | http://is8.auto.ru/all/images/42/5d/60x45/425d90b7.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF0000 | 530 000 |  2008  |  67 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Белгород | 22.01.15
