1005640159-5614 | http://is16.auto.ru/all/images/38/64/60x45/386410de.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #CACECB | 570 000 |  2008  |  206 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 22.01.15
1007239425-5864 | http://is15.auto.ru/all/images/35/cc/60x45/35cc2083.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 788 000 |  2008  |  76 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007232959-e865d | http://is9.auto.ru/all/images/8e/ad/60x45/8ead02dc.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 799 999 |  2011  |  75 428 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007114551-3b7a61 | http://is8.auto.ru/all/images/4e/21/60x45/4e21cd43.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 707 000 |  2010  |  48 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Ульяновск | 22.01.15
1006515541-abd0e0 | http://is18.auto.ru/all/images/4f/94/60x45/4f947627.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 560 000 |  2007  |  80 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 22.01.15
1003550652-7804 | http://is14.auto.ru/all/images/08/92/60x45/08928aac.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 605 000 |  2008  |  73 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007228891-8cdb7 | http://is11.auto.ru/all/images/4c/36/60x45/4c3661ef.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 777 000 |  2009  |  62 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007226303-1812 | http://is6.auto.ru/all/images/50/36/60x45/5036bb0b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 777 000 |  2009  |  75 654 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007227359-5a162 | http://is12.auto.ru/all/images/3c/d7/60x45/3cd7e16b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 855 000 |  2011  |  25 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007215081-6eab | http://is2.auto.ru/all/images/10/57/60x45/10573a34.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 619 888 |  2007  |  120 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 22.01.15
1006708101-6652 | http://is15.auto.ru/all/images/91/4d/60x45/914d1dd7.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #FFCC00 | 537 000 |  2008  |  177 091 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
