1007176559-c920 | http://is18.auto.ru/all/images/48/64/60x45/48641197.jpg |  Mercedes-Benz C-klasse I (W202) Рестайлинг 2402.6 AT (170 л.с.)  | #926547 | 198 000 |  1999  |  189 000 км  |  2.6 AT (170 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007293505-6b490c | http://is17.auto.ru/all/images/4d/47/60x45/4d4768a7.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #FFFFFF | 7 777 |  2012  |  60 000 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Ульяновск | 23.01.15
1007247945-1952f | http://is10.auto.ru/all/images/b5/18/60x45/b518120f.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 2001.8 AT (184 л.с.)  | #000000 | 1 200 000 |  2012  |  73 000 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Абинск | 23.01.15
1007035905-6cde | http://is17.auto.ru/all/images/7c/2b/60x45/7c2b0d83.jpg |  Mercedes-Benz C-klasse II (W203) 1802.0 MT (129 л.с.)  | #0000FF | 340 000 |  2001  |  260 000 км  |  2.0 MT (129 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007112641-6d86 | http://is18.auto.ru/all/images/84/bc/60x45/84bc6ec3.jpg |  Mercedes-Benz C-klasse I (W202) Рестайлинг 1801.8 MT (122 л.с.)  | #0000FF | 243 000 |  1998  |  183 200 км  |  1.8 MT (122 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007292927-4f8dbb | http://is9.auto.ru/all/images/a6/e3/60x45/a6e30219.jpg |  Mercedes-Benz C-klasse III (W204) 1801.8 AT (156 л.с.)  | #9c9999 | 683 888 |  2007  |  133 000 км  |  1.8 AT (156 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.01.15
1007292877-d130 | http://is8.auto.ru/all/images/ba/8b/60x45/ba8b6c46.jpg |  Mercedes-Benz C-klasse III (W204) 2001.8 AT (184 л.с.)  | #0000FF | 740 000 |  2008  |  69 900 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007289483-93ae1 | http://is15.auto.ru/all/images/f3/5d/60x45/f35d225b.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #FFFFFF | 1 199 999 |  2012  |  53 452 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Москва | 23.01.15
1007291451-48cf1e | http://is5.auto.ru/all/images/ca/36/60x45/ca36b55c.jpg |  Mercedes-Benz C-klasse IV (W205) 1801.6 AT (156 л.с.)  | #000000 | 1 750 000 |  2014  |  100 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007231771-100f46 | http://is18.auto.ru/all/images/7b/6d/60x45/7b6de60b.jpg |  Mercedes-Benz C-klasse I (W202) 1801.8 AT (122 л.с.)  | #9c9999 | 200 000 |  1996  |  350 000 км  |  1.8 AT (122 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005458103-a855c | http://is5.auto.ru/all/images/e7/85/60x45/e785caf2.jpg |  Mercedes-Benz C-klasse II (W203) 2302.3 AT (197 л.с.)  | #CACECB | 460 000 |  2001  |  210 000 км  |  2.3 AT (197 л.с.)купе, бензин, задний  | Москва | 23.01.15
1007287541-ba79 | /i/all7/img/no-photo-thumb.gif |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #000000 | 1 800 000 |  2014  |  1 км  |  1.6 AT (156 л.с.)купе, бензин, задний  | Москва | 23.01.15
1007286421-04c2f | http://is13.auto.ru/all/images/31/fc/60x45/31fcdb3c.jpg |  Mercedes-Benz C-klasse II (W203) 2202.2d AT (143 л.с.)  | #000000 | 399 999 |  2004  |  129 520 км  |  2.2d AT (143 л.с.)седан, дизель, задний  | Москва | 23.01.15
1007286409-4388ae | http://is13.auto.ru/all/images/07/03/60x45/070378fc.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2001.8 AT (163 л.с.)  | #CACECB | 455 555 |  2005  |  111 800 км  |  1.8 AT (163 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007286099-f1156 | http://is14.auto.ru/all/images/37/aa/60x45/37aae99d.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2002.0 AT (163 л.с.)  | #ffefd5 | 633 333 |  2007  |  86 000 км  |  2.0 AT (163 л.с.)универсал, бензин, задний  | Москва | 23.01.15
1007285471-564ba | http://is3.auto.ru/all/images/e3/52/60x45/e352e8f2.jpg |  Mercedes-Benz C-klasse IV (W205) 1801.6 AT (156 л.с.)  | #CACECB | 1 770 000 |  2014  |  7 900 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.01.15
