1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007293337-da10 | http://is17.auto.ru/all/images/2a/d0/60x45/2ad0c7b4.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0000FF | 170 000 |  1999  |  335 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Кимры | 23.01.15
1006876729-1cd251 | http://is16.auto.ru/all/images/ef/93/60x45/ef93f923.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 215 000 |  2004  |  138 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ковров | 23.01.15
1007292699-d0d382 | http://is6.auto.ru/all/images/ab/c6/60x45/abc6c49b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 219 999 |  2003  |  92 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292483-23d45 | http://is13.auto.ru/all/images/99/15/60x45/99155208.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 243 000 |  2003  |  129 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292163-57354a | http://is5.auto.ru/all/images/a4/f9/60x45/a4f96b33.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 265 000 |  2005  |  88 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291987-a078 | http://is7.auto.ru/all/images/7a/83/60x45/7a830fe6.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 240 000 |  2006  |  79 214 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292043-8c527 | http://is16.auto.ru/all/images/e1/c6/60x45/e1c62e3a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 245 000 |  2006  |  74 300 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291675-773588 | http://is3.auto.ru/all/images/8e/7c/60x45/8e7c591c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 245 000 |  2006  |  108 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291367-872a | http://is5.auto.ru/all/images/54/21/60x45/5421819e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 235 000 |  2006  |  79 450 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291341-7082 | http://is12.auto.ru/all/images/45/cc/60x45/45cc9cb1.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 245 000 |  2005  |  91 400 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290983-84e2 | http://is4.auto.ru/all/images/e3/b5/60x45/e3b5c318.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 240 000 |  2006  |  92 500 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290893-24d4 | http://is17.auto.ru/all/images/a9/61/60x45/a96111a7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 275 000 |  2003  |  91 800 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290253-57f7 | http://is2.auto.ru/all/images/59/ce/60x45/59cea6b4.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 535 000 |  2014  |  80 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290195-1668 | http://is18.auto.ru/all/images/32/9b/60x45/329b3720.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #9c9999 | 255 000 |  2005  |  108 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290115-9ce2 | http://is5.auto.ru/all/images/5e/7b/60x45/5e7b1090.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #FF0000 | 275 000 |  2006  |  77 012 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007289683-2894 | http://is13.auto.ru/all/images/b0/14/60x45/b0149e35.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 277 777 |  2006  |  67 847 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007286849-7b35b | http://is9.auto.ru/all/images/b1/5a/60x45/b15a3a9a.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 333 333 |  2006  |  98 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007286117-0ae52 | http://is4.auto.ru/all/images/bf/a8/60x45/bfa82e92.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 188 888 |  1999  |  130 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285019-b2d4a | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 250 000 |  2006  |  115 235 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
