1007170203-42fe | http://is16.auto.ru/all/images/1a/58/60x45/1a58d69e.jpg |  Nissan Qashqai I1.6 MT (114 л.с.)  | #000000 | 499 000 |  2007  |  157 000 км  |  1.6 MT (114 л.с.)внедорожник, бензин, передний  | Калуга | 23.01.15
1006879867-95cb2 | http://is8.auto.ru/all/images/12/98/60x45/129886fd.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #ffefd5 | 620 000 |  2008  |  80 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007157855-d1e4 | http://is17.auto.ru/all/images/7f/eb/60x45/7feb6707.jpg |  Nissan Qashqai II2.0 CVT (144 л.с.) 4WD  | #FFFFFF | 1 570 000 |  2014  |  20 км  |  2.0 CVT (144 л.с.) 4WDвнедорожник, бензин, полный  | Краснодар | 23.01.15
1007293173-d8aac | http://is8.auto.ru/all/images/38/20/60x45/3820e300.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #0000FF | 611 111 |  2008  |  69 267 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1006868287-50f5fa | http://is15.auto.ru/all/images/86/18/60x45/8618045d.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #926547 | 730 000 |  2009  |  110 000 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Малоярославец | 23.01.15
1007292605-ea3d | http://is2.auto.ru/all/images/fb/36/60x45/fb36c8af.jpg |  Nissan Qashqai I Рестайлинг2.0d AT (150 л.с.) 4WD  | #CACECB | 720 000 |  2012  |  52 120 км  |  2.0d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007292377-e67be2 | http://is17.auto.ru/all/images/bd/fe/60x45/bdfee982.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #000000 | 658 888 |  2010  |  42 000 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007292103-eacf | http://is10.auto.ru/all/images/bb/3e/60x45/bb3e43e1.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #926547 | 625 000 |  2009  |  64 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291633-f3b60 | http://is8.auto.ru/all/images/ac/57/60x45/ac57d567.jpg |  Nissan Qashqai I +22.0 CVT (141 л.с.) 4WD  | #000000 | 608 000 |  2008  |  67 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290861-41b88 | http://is18.auto.ru/all/images/d7/81/60x45/d781d569.jpg |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.) 4WD  | #0000FF | 825 000 |  2011  |  54 999 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290851-1bba | http://is15.auto.ru/all/images/71/f4/60x45/71f4d8a1.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #FF9966 | 665 000 |  2008  |  76 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290569-c8eca | http://is11.auto.ru/all/images/33/7c/60x45/337c23e7.jpg |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.)  | #9c9999 | 622 222 |  2010  |  43 208 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007290567-93d6 | http://is11.auto.ru/all/images/dd/97/60x45/dd970c13.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #FF0000 | 577 777 |  2009  |  73 208 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290565-2d17e9 | http://is8.auto.ru/all/images/e8/17/60x45/e8176d2f.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #9c9999 | 599 999 |  2009  |  69 527 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007290255-4414 | http://is12.auto.ru/all/images/09/7e/60x45/097e1c0d.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #0000FF | 595 000 |  2009  |  87 300 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007248991-ac9eaa | http://is16.auto.ru/all/images/2a/c4/60x45/2ac48023.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #000000 | 665 000 |  2009  |  78 700 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007289931-72dde | http://is15.auto.ru/all/images/46/c3/60x45/46c34d47.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #CACECB | 581 000 |  2009  |  110 503 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007289871-b2e52b | http://is12.auto.ru/all/images/24/49/60x45/2449843e.jpg |  Nissan Qashqai I +22.0 CVT (141 л.с.) 4WD  | #CACECB | 625 000 |  2008  |  71 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007289833-ae0e7 | http://is5.auto.ru/all/images/da/11/60x45/da119027.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #926547 | 645 000 |  2009  |  67 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007215465-5f921 | http://is12.auto.ru/all/images/c2/43/60x45/c243d87e.jpg |  Nissan Qashqai I +22.0 CVT (141 л.с.) 4WD  | #9c9999 | 849 998 |  2009  |  83 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Омск | 23.01.15
1007286125-de248 | http://is6.auto.ru/all/images/4e/8e/60x45/4e8e1883.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #000000 | 549 000 |  2007  |  92 000 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007283695-549c | http://is2.auto.ru/all/images/9f/84/60x45/9f846b45.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #000000 | 635 000 |  2008  |  89 200 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007283639-705a | http://is12.auto.ru/all/images/95/e0/60x45/95e03ffd.jpg |  Nissan Qashqai I2.0 MT (141 л.с.) 4WD  | #0000FF | 595 000 |  2009  |  80 000 км  |  2.0 MT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283507-56a926 | /i/all7/img/no-photo-thumb.gif |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.) 4WD  | #926547 | 645 000 |  2010  |  85 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282961-4562b | http://is17.auto.ru/all/images/ee/2a/60x45/ee2aa653.jpg |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.) 4WD  | #9c9999 | 920 000 |  2013  |  54 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282681-54516 | http://is4.auto.ru/all/images/fd/01/60x45/fd01b04b.jpg |  Nissan Qashqai I Рестайлинг2.0 MT (141 л.с.)  | #000000 | 865 000 |  2012  |  38 000 км  |  2.0 MT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007282715-ccae | http://is3.auto.ru/all/images/2d/24/60x45/2d248d9d.jpg |  Nissan Qashqai I2.0 MT (141 л.с.)  | #9c9999 | 495 000 |  2009  |  89 000 км  |  2.0 MT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007282791-4d094 | http://is7.auto.ru/all/images/ff/49/60x45/ff49c5cb.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.)  | #FF0000 | 730 000 |  2009  |  54 000 км  |  2.0 CVT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007282423-fda094 | http://is3.auto.ru/all/images/0d/c4/60x45/0dc440d2.jpg |  Nissan Qashqai I Рестайлинг2.0 MT (141 л.с.)  | #000000 | 890 000 |  2011  |  23 456 км  |  2.0 MT (141 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007281985-b0ba5 | http://is9.auto.ru/all/images/67/cc/60x45/67cc08b5.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #926547 | 630 000 |  2009  |  80 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281981-1627 | http://is9.auto.ru/all/images/c0/2a/60x45/c02ab5cf.jpg |  Nissan Qashqai I +22.0 CVT (141 л.с.) 4WD  | #FF9966 | 700 000 |  2009  |  82 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281875-9c8ed | http://is16.auto.ru/all/images/09/73/60x45/09734e81.jpg |  Nissan Qashqai I2.0 CVT (141 л.с.) 4WD  | #0000FF | 735 000 |  2009  |  59 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281397-e9ec | http://is8.auto.ru/all/images/4f/c5/60x45/4fc50482.jpg |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.) 4WD  | #000000 | 650 000 |  2010  |  42 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281243-ea8c24 | http://is18.auto.ru/all/images/c9/45/60x45/c9450368.jpg |  Nissan Qashqai I Рестайлинг2.0 CVT (141 л.с.) 4WD  | #9c9999 | 845 000 |  2012  |  72 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
