1006926371-cc0a49 | http://is12.auto.ru/all/images/97/a2/60x45/97a254f8.jpg |  Nissan X-Trail II2.0d AT (150 л.с.) 4WD  | #926547 | 836 000 |  2009  |  111 000 км  |  2.0d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Воронеж | 23.01.15
1007292653-908b | http://is13.auto.ru/all/images/7b/b0/60x45/7bb06a3e.jpg |  Nissan X-Trail I2.0 AT (140 л.с.)  | #ffefd5 | 470 000 |  2006  |  133 584 км  |  2.0 AT (140 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007292651-cd937 | http://is5.auto.ru/all/images/53/72/60x45/53728b11.jpg |  Nissan X-Trail I2.0 AT (140 л.с.)  | #CACECB | 480 000 |  2006  |  132 184 км  |  2.0 AT (140 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007292655-08c4 | http://is12.auto.ru/all/images/d5/60/60x45/d560f45e.jpg |  Nissan X-Trail II2.0d AT (150 л.с.) 4WD  | #CACECB | 640 000 |  2008  |  98 562 км  |  2.0d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007292495-49c1 | http://is13.auto.ru/all/images/6a/57/60x45/6a578f40.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #9c9999 | 605 000 |  2006  |  78 000 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007292417-8b865 | http://is14.auto.ru/all/images/c6/28/60x45/c628e46f.jpg |  Nissan X-Trail I2.0 AT (140 л.с.)  | #9c9999 | 458 888 |  2004  |  103 000 км  |  2.0 AT (140 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007292311-5e968b | http://is10.auto.ru/all/images/64/1a/60x45/641a95bf.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #000000 | 508 888 |  2006  |  86 188 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007292321-2946 | http://is2.auto.ru/all/images/17/94/60x45/1794e455.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #CACECB | 698 888 |  2009  |  73 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007292115-6314 | http://is13.auto.ru/all/images/a8/ab/60x45/a8ab2548.jpg |  Nissan X-Trail I2.5 MT (165 л.с.) 4WD  | #CACECB | 475 000 |  2005  |  116 900 км  |  2.5 MT (165 л.с.) 4WDвнедорожник, бензин, полный  | Реутов | 23.01.15
1007291639-22b8 | http://is9.auto.ru/all/images/b2/a6/60x45/b2a632ed.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #CACECB | 1 267 000 |  2014  |  13 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291653-3dadad | http://is2.auto.ru/all/images/02/d7/60x45/02d7e234.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #9c9999 | 1 287 000 |  2014  |  18 700 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291689-df2c3f | http://is1.auto.ru/all/images/38/4b/60x45/384b34db.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 460 000 |  2004  |  118 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291505-1a8042 | http://is18.auto.ru/all/images/82/ab/60x45/82abf032.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 522 000 |  2007  |  84 309 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291563-c9d46 | http://is2.auto.ru/all/images/42/31/60x45/4231efe6.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 533 000 |  2006  |  88 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291287-2f30f9 | http://is18.auto.ru/all/images/a5/53/60x45/a5531c5d.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #000000 | 450 000 |  2003  |  120 350 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291289-8c7b | http://is2.auto.ru/all/images/a3/ec/60x45/a3ec0154.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #9c9999 | 590 000 |  2007  |  92 300 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290867-ecc2 | http://is13.auto.ru/all/images/e3/b7/60x45/e3b77993.jpg |  Nissan X-Trail II Рестайлинг2.0 MT (141 л.с.) 4WD  | #000000 | 895 000 |  2011  |  69 851 км  |  2.0 MT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
