48886618-4ddd | http://is3.auto.ru/all/images/5c/10/60x45/5c10dc0f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 415 555 |  2007  |  115 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007047131-978ae | http://is16.auto.ru/all/images/40/62/60x45/4062ef6f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 550 000 |  2007  |  30 000 км  |  1.8 AT (140 л.с.)кабриолет, бензин, передний  | Сургут | 23.01.15
1007293487-2a17d8 | http://is8.auto.ru/all/images/d3/5b/60x45/d35b67b9.jpg |  Opel Astra H1.6 MT (105 л.с.)  | #000000 | 345 000 |  2007  |  108 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007293415-c219 | http://is2.auto.ru/all/images/cf/87/60x45/cf877a03.jpg |  Opel Astra G1.7d MT (68 л.с.)  | #0000FF | 135 000 |  1999  |  145 522 км  |  1.7d MT (68 л.с.)универсал, дизель, передний  | Тверь | 23.01.15
1006982315-030745 | http://is7.auto.ru/all/images/7b/c9/60x45/7bc933da.jpg |  Opel Astra F1.6 MT (101 л.с.)  | #CACECB | 210 000 |  2000  |  115 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007035887-c29d3 | http://is3.auto.ru/all/images/70/03/60x45/7003637e.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #9c9999 | 1 025 000 |  2014  |  10 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Курск | 23.01.15
1005862263-a5f7dd | http://is13.auto.ru/all/images/87/7b/60x45/877b3b0c.jpg |  Opel Astra G1.6 MT (84 л.с.)  | #CACECB | 190 000 |  2003  |  170 000 км  |  1.6 MT (84 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007103309-988a | http://is6.auto.ru/all/images/99/bd/60x45/99bd14cf.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 520 000 |  2010  |  46 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007293305-9f0e | /i/all7/img/no-photo-thumb.gif |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #FFFFFF | 1 200 000 |  2014  |  215 км  |  1.4 AT (140 л.с.)универсал, бензин, передний  | Геленджик | 23.01.15
1007293251-f12b | http://is11.auto.ru/all/images/4d/7a/60x45/4d7a0441.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 377 111 |  2008  |  68 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006933103-efb68f | http://is4.auto.ru/all/images/e2/c7/60x45/e2c71c7d.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #000000 | 660 000 |  2012  |  49 500 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
43141088-019c | http://is15.auto.ru/all/images/6c/d5/60x45/6cd532a1.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 370 000 |  2008  |  123 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Саранск | 23.01.15
1007189381-2af3 | http://is16.auto.ru/all/images/96/c8/60x45/96c84061.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 595 000 |  2012  |  35 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
