36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
48950246-ae479 | http://is11.auto.ru/all/images/64/22/60x45/6422ff1a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 265 000 |  2010  |  115 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Обнинск | 06.10.14
34369714-af93 | http://is12.auto.ru/all/images/f1/75/60x45/f1751847.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 263 000 |  2009  |  107 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Обнинск | 06.10.14
29833602-242a7a | http://is7.auto.ru/all/images/db/0f/60x45/db0f4db7.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 392 000 |  2013  |  17 030 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Обнинск | 14.12.14
1005172007-75d2 | http://is15.auto.ru/all/images/a7/03/60x45/a7034160.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 249 000 |  2008  |  130 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 17.12.14
1002686967-aef12 | http://is3.auto.ru/all/images/36/ad/60x45/36ad1d84.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 470 000 |  2013  |  40 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Сургут | 18.12.14
48288792-14e0 | http://is3.auto.ru/all/images/2d/5f/60x45/2d5fe2f0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 330 000 |  2012  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Уфа | 18.12.14
1005118843-ae40 | http://is18.auto.ru/all/images/73/86/60x45/73869f3e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 115 000 |  2011  |  70 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Калининград | 18.12.14
1002686933-7bdcc7 | http://is18.auto.ru/all/images/2c/37/60x45/2c37961d.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 460 000 |  2013  |  40 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Сургут | 18.12.14
41532048-8a2b3 | http://is12.auto.ru/all/images/da/79/60x45/da792d6d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 180 000 |  2006  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Обнинск | 18.12.14
49524152-7477 | http://is3.auto.ru/all/images/42/2f/60x45/422fcd9c.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 415 000 |  2013  |  34 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Тула | 19.12.14
1004150565-d79b8 | http://is14.auto.ru/all/images/25/bd/60x45/25bdadb9.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 302 328 |  2009  |  80 700 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.12.14
1004224787-caf1 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 245 000 |  2007  |  92 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 22.12.14
1005035603-2979 | http://is14.auto.ru/all/images/cd/4e/60x45/cd4e3897.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 363 120 |  2011  |  90 508 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1005386727-47b5 | http://is4.auto.ru/all/images/d8/e5/60x45/d8e57747.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 309 060 |  2008  |  46 612 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.12.14
1003773744-dafcdb | http://is18.auto.ru/all/images/35/82/60x45/35827c48.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 488 070 |  2012  |  34 905 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005571293-fe087 | http://is13.auto.ru/all/images/b1/21/60x45/b121e40e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 130 000 |  2006  |  300 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005571637-d1cd | http://is17.auto.ru/all/images/92/63/60x45/9263f360.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 295 000 |  2009  |  140 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 23.12.14
1005571797-3b47 | http://is14.auto.ru/all/images/7c/ab/60x45/7cababa2.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 285 000 |  2010  |  92 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Борисовка | 23.12.14
1005573861-b0246 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 299 000 |  2011  |  96 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005572881-f2c7a0 | http://is15.auto.ru/all/images/4d/5e/60x45/4d5e3631.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 300 000 |  2009  |  60 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Железнодорожный | 23.12.14
1005578869-7c89 | http://is11.auto.ru/all/images/19/78/60x45/197821c2.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 476 850 |  2012  |  65 911 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005577371-de32 | http://is18.auto.ru/all/images/5a/cd/60x45/5acd9b90.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 410 000 |  2013  |  45 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Воронеж | 23.12.14
1005580099-775235 | http://is17.auto.ru/all/images/9e/43/60x45/9e43f102.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #FFFFFF | 335 000 |  2014  |  1 313 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005581781-05aeb | http://is12.auto.ru/all/images/8d/a0/60x45/8da02dfc.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 295 000 |  2011  |  99 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1005582481-838dc7 | http://is7.auto.ru/all/images/f2/d8/60x45/f2d803b0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFCC00 | 360 000 |  2010  |  49 250 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Брянск | 23.12.14
1005631463-fb68ed | http://is13.auto.ru/all/images/ad/35/60x45/ad35b036.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 200 000 |  2008  |  105 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Нижний Новгород | 24.12.14
1005632013-6a33 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 400 000 |  2012  |  47 600 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 24.12.14
1005637931-4596 | http://is11.auto.ru/all/images/cb/6f/60x45/cb6f8623.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 275 000 |  2011  |  47 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Пушкино | 24.12.14
1005638485-af31 | http://is18.auto.ru/all/images/28/29/60x45/2829d423.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFCC00 | 315 000 |  2011  |  42 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Чехов | 24.12.14
1005641793-cf586 | http://is9.auto.ru/all/images/7e/75/60x45/7e752d85.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2008  |  89 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Вельск | 24.12.14
50267938-e30b74 | http://is3.auto.ru/all/images/4d/e7/60x45/4de74915.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 200 000 |  2007  |  130 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Озеры | 24.12.14
1005643517-c43aff | http://is18.auto.ru/all/images/d6/e4/60x45/d6e4ac2a.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #CACECB | 334 900 |  2014  |  1 300 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Ростов-на-Дону | 24.12.14
1005650145-bdf2da | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 290 000 |  2010  |  65 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ставрополь | 25.12.14
1005693557-dc22a2 | http://is18.auto.ru/all/images/a3/7b/60x45/a37bc03c.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 315 000 |  2009  |  110 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Ярославль | 25.12.14
1005694659-86f65 | http://is18.auto.ru/all/images/8e/f2/60x45/8ef2a30a.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 315 000 |  2010  |  123 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ковров | 25.12.14
1003202850-dcaf2e | http://is1.auto.ru/all/images/eb/cf/60x45/ebcfd342.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 285 000 |  2008  |  77 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Смоленск | 25.12.14
1005695667-2a57b3 | http://is13.auto.ru/all/images/8a/d8/60x45/8ad81817.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #0000FF | 334 990 |  2014  |  1 400 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Нижний Новгород | 25.12.14
1005695981-b64b0 | http://is8.auto.ru/all/images/e5/ef/60x45/e5efdf06.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 285 000 |  2010  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Калуга | 25.12.14
1005696109-7fc039 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 330 000 |  2011  |  6 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Подольск | 25.12.14
1005697199-f70e6a | http://is15.auto.ru/all/images/82/47/60x45/82475c28.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 199 999 |  2007  |  101 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Выкса | 25.12.14
1005691915-fb01d0 | http://is12.auto.ru/all/images/75/1d/60x45/751d5256.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 270 000 |  2009  |  82 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Таганрог | 25.12.14
1005700911-5ec8 | http://is18.auto.ru/all/images/5b/ed/60x45/5bed4e26.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #FFFFFF | 334 500 |  2014  |  123 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Ростов-на-Дону | 25.12.14
1005700349-6a42 | /i/all7/img/no-photo-thumb.gif |  Renault Logan II1.6 MT (102 л.с.)  | #0000FF | 480 000 |  2014  |  6 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Железнодорожный | 25.12.14
1005641103-8d06 | http://is8.auto.ru/all/images/0a/ee/60x45/0aee47e0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 321 000 |  2011  |  80 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Пенза | 25.12.14
48938470-93e97 | http://is18.auto.ru/all/images/0e/81/60x45/0e810fdc.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 349 500 |  2012  |  50 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Великий Новгород | 25.12.14
1005703265-cad96b | http://is15.auto.ru/all/images/0a/d4/60x45/0ad4be89.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 280 000 |  2006  |  55 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 25.12.14
47475540-7d2d3 | http://is5.auto.ru/all/images/08/f7/60x45/08f7055b.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 190 000 |  2006  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 25.12.14
1005707527-b96f | http://is2.auto.ru/all/images/75/3b/60x45/753b5896.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 280 000 |  2009  |  56 100 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сестрорецк | 25.12.14
1005709021-d2315 | http://is11.auto.ru/all/images/7b/a7/60x45/7ba7b47b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 345 000 |  2009  |  68 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Брянск | 25.12.14
1005709553-f957d | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 247 000 |  2007  |  87 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 25.12.14
1005709561-bbea0 | http://is17.auto.ru/all/images/86/d3/60x45/86d3258e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 315 000 |  2011  |  100 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 25.12.14
1005709347-bd9b1 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 250 000 |  2009  |  120 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 25.12.14
1005710063-72168 | http://is1.auto.ru/all/images/94/e2/60x45/94e25146.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 230 000 |  2010  |  185 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 25.12.14
1005731465-d15647 | http://is14.auto.ru/all/images/0f/3a/60x45/0f3a2b97.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 400 000 |  2012  |  47 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 26.12.14
