1007299057-5ed09 | http://is8.auto.ru/all/images/e2/f6/60x45/e2f6901d.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #ffefd5 | 415 000 |  2008  |  65 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007301335-116b9 | http://is17.auto.ru/all/images/c6/39/60x45/c639837d.jpg |  Skoda Fabia I Рестайлинг1.2 MT (64 л.с.)  | #0000FF | 197 000 |  2005  |  145 000 км  |  1.2 MT (64 л.с.)хэтчбек, бензин, передний  | Псков | 23.01.15
1007301197-22fe8 | http://is18.auto.ru/all/images/24/e4/60x45/24e4d285.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #9c9999 | 450 000 |  2012  |  38 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007300865-001b87 | http://is13.auto.ru/all/images/89/e8/60x45/89e84322.jpg |  Skoda Fabia I Рестайлинг1.2 MT (64 л.с.)  | #CACECB | 379 000 |  2007  |  65 843 км  |  1.2 MT (64 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007299771-2746 | http://is3.auto.ru/all/images/84/8c/60x45/848c3e5b.jpg |  Skoda Fabia I Рестайлинг1.2 MT (64 л.с.)  | #ffefd5 | 257 000 |  2005  |  104 200 км  |  1.2 MT (64 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007300625-3e25b | http://is16.auto.ru/all/images/c0/e9/60x45/c0e983f5.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #FFFFFF | 517 300 |  2014  |  4 423 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007300617-bbe08 | http://is14.auto.ru/all/images/35/ca/60x45/35cae198.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #000000 | 349 600 |  2008  |  87 300 км  |  1.2 MT (70 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007300369-fbab | http://is17.auto.ru/all/images/9a/05/60x45/9a05ba6c.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #FF0000 | 368 000 |  2010  |  65 146 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007283213-426e | http://is17.auto.ru/all/images/c2/1a/60x45/c21aa9eb.jpg |  Skoda Fabia II Рестайлинг Scout1.4 MT (86 л.с.)  | #0088ff | 369 700 |  2010  |  58 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007236847-9c590 | http://is1.auto.ru/all/images/fc/d6/60x45/fcd60654.jpg |  Skoda Fabia II1.4 MT (86 л.с.)  | #CACECB | 370 000 |  2010  |  57 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Липецк | 23.01.15
1007299737-48b83 | http://is17.auto.ru/all/images/e1/60/60x45/e1604adc.jpg |  Skoda Fabia II Рестайлинг1.6 MT (105 л.с.)  | #9c9999 | 500 000 |  2011  |  20 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296491-c8ca9 | http://is2.auto.ru/all/images/61/5d/60x45/615dd373.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #0000FF | 499 000 |  2012  |  44 950 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296835-ca51a | http://is6.auto.ru/all/images/36/96/60x45/3696c566.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #0000FF | 495 000 |  2012  |  56 700 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005692035-5cdc19 | http://is9.auto.ru/all/images/60/8e/60x45/608e039f.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #FF0000 | 359 291 |  2010  |  71 632 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282813-e3fb | http://is6.auto.ru/all/images/5d/6e/60x45/5d6e3755.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #CACECB | 380 000 |  2011  |  75 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007190201-13a0 | http://is6.auto.ru/all/images/f3/4c/60x45/f34cd6ac.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #34ba2b | 499 000 |  2011  |  56 300 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
