1006867571-6b7a | http://is11.auto.ru/all/images/af/da/60x45/afdabf7a.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 350 000 |  2005  |  87 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005258155-b8be | http://is6.auto.ru/all/images/0f/80/60x45/0f80c1de.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 475 000 |  2012  |  71 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1003706268-54068 | http://is5.auto.ru/all/images/9d/48/60x45/9d48a6ee.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 410 000 |  2011  |  75 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007301039-ad696c | http://is13.auto.ru/all/images/aa/a4/60x45/aaa4f8f5.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 360 000 |  2004  |  179 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007300929-24f88 | http://is3.auto.ru/all/images/52/bb/60x45/52bbf82f.jpg |  Skoda Octavia II Рестайлинг Scout1.8 MT (152 л.с.) 4WD  | #9c9999 | 980 000 |  2011  |  64 500 км  |  1.8 MT (152 л.с.) 4WDуниверсал, бензин, полный  | Санкт-Петербург | 23.01.15
43229964-d661f5 | http://is8.auto.ru/all/images/47/09/60x45/47096a63.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 287 000 |  2006  |  145 687 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Рыбинск | 23.01.15
1007086731-97ae | http://is18.auto.ru/all/images/d9/cc/60x45/d9cc284e.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 799 000 |  2012  |  11 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007300635-200ad | http://is9.auto.ru/all/images/ce/c4/60x45/cec4e95e.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 650 000 |  2011  |  49 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007300637-fbe2a | http://is5.auto.ru/all/images/c9/9f/60x45/c99f8324.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 699 000 |  2013  |  16 400 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007300631-6e8d5 | http://is17.auto.ru/all/images/2a/85/60x45/2a85732d.jpg |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 550 000 |  2011  |  52 500 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007300451-d92af | http://is14.auto.ru/all/images/e8/c3/60x45/e8c38c78.jpg |  Skoda Octavia II Рестайлинг Scout1.8 MT (152 л.с.) 4WD  | #000000 | 890 000 |  2011  |  83 000 км  |  1.8 MT (152 л.с.) 4WDуниверсал, бензин, полный  | Таганрог | 23.01.15
