1007241053-250e12 | http://is11.auto.ru/all/images/97/78/60x45/97789df2.jpg |  Toyota Avensis II Рестайлинг2.0d MT (126 л.с.)  | #CACECB | 699 000 |  2008  |  167 000 км  |  2.0d MT (126 л.с.)универсал, дизель, передний  | Москва | 23.01.15
15148150-9795 | http://is13.auto.ru/all/images/33/e2/60x45/33e2cc2f.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #926547 | 480 000 |  2004  |  149 500 км  |  2.0 AT (147 л.с.)универсал, бензин, передний  | Калуга | 23.01.15
1007281119-d3e92f | http://is5.auto.ru/all/images/0b/b4/60x45/0bb41d62.jpg |  Toyota Avensis II Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 455 000 |  2007  |  92 100 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
47844304-2c6268 | http://is12.auto.ru/all/images/a2/78/60x45/a2783f0f.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #CACECB | 520 000 |  2007  |  220 000 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Нижний Новгород | 23.01.15
1007048791-5bdb | http://is15.auto.ru/all/images/ef/0b/60x45/ef0b72f3.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #9c9999 | 600 000 |  2008  |  130 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241845-95f1ee | http://is13.auto.ru/all/images/f2/2a/60x45/f22a727e.jpg |  Toyota Avensis I Рестайлинг1.6 MT (110 л.с.)  | #34ba2b | 394 680 |  2000  |  325 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241847-c0f9 | http://is6.auto.ru/all/images/48/58/60x45/4858beee.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #9c9999 | 629 000 |  2007  |  112 006 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241805-e85d | http://is2.auto.ru/all/images/3d/87/60x45/3d878143.jpg |  Toyota Avensis III2.0 CVT (152 л.с.)  | #9c9999 | 829 000 |  2009  |  61 718 км  |  2.0 CVT (152 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007238419-1246 | http://is15.auto.ru/all/images/4c/63/60x45/4c63359b.jpg |  Toyota Avensis III2.0 CVT (152 л.с.)  | #CACECB | 820 000 |  2009  |  76 000 км  |  2.0 CVT (152 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1007226241-6b522 | http://is2.auto.ru/all/images/e6/a4/60x45/e6a4c1de.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #CACECB | 570 000 |  2008  |  57 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007287067-e6a3d2 | http://is2.auto.ru/all/images/73/df/60x45/73df3991.jpg |  Toyota Avensis I Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 295 000 |  2003  |  137 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007103453-9adaa8 | http://is8.auto.ru/all/images/52/1d/60x45/521d4155.jpg |  Toyota Avensis II Рестайлинг2.0 MT (147 л.с.)  | #CACECB | 480 000 |  2007  |  92 300 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280645-bc41 | http://is14.auto.ru/all/images/ba/86/60x45/ba867ced.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #000000 | 495 000 |  2008  |  92 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006186033-ade3 | http://is5.auto.ru/all/images/81/8c/60x45/818c24d2.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #0000FF | 507 796 |  2005  |  134 885 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
