1003758136-b9f65c | http://is15.auto.ru/all/images/df/91/60x45/df91b079.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 750 000 |  2011  |  55 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1006937725-92fa | http://is15.auto.ru/all/images/ef/6a/60x45/ef6af2b2.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0000FF | 400 000 |  2005  |  84 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007118205-60095 | http://is9.auto.ru/all/images/82/85/60x45/82856f4c.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг Fielder1.5 AT (110 л.с.)  | #CACECB | 410 000 Правый руль |  2004  |  115 000 км  |  1.5 AT (110 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007247429-0bbe4 | http://is8.auto.ru/all/images/98/4f/60x45/984f69e5.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 465 000 |  2007  |  90 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Тверь | 23.01.15
1006990115-01c7 | http://is16.auto.ru/all/images/71/82/60x45/7182e173.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #FFFFFF | 749 000 |  2012  |  39 500 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ханты-Мансийск | 23.01.15
1007292239-315430 | http://is5.auto.ru/all/images/3c/eb/60x45/3ceb9e9b.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #FFFFFF | 1 185 555 |  2015  |  1 234 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291757-a6e7 | http://is16.auto.ru/all/images/cc/ef/60x45/ccefb866.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0088ff | 410 000 |  2006  |  97 800 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291339-5265 | http://is1.auto.ru/all/images/6c/ad/60x45/6cad1352.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0088ff | 370 000 |  2006  |  89 750 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291443-33b01 | http://is6.auto.ru/all/images/0b/bb/60x45/0bbbeae0.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0088ff | 485 000 |  2009  |  66 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291183-82f15 | http://is6.auto.ru/all/images/d4/ba/60x45/d4baabc8.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 658 000 |  2010  |  71 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290933-098c70 | http://is5.auto.ru/all/images/04/52/60x45/0452307a.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #0088ff | 375 000 |  2007  |  76 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
