1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296405-51e932 | http://is17.auto.ru/all/images/c3/17/60x45/c3175b50.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #0000FF | 67 000 |  1994  |  1 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Туринск | 23.01.15
1007168907-23421f | http://is6.auto.ru/all/images/1c/c1/60x45/1cc16303.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 43 000 |  1998  |  36 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Подольск | 23.01.15
1007283373-321d4b | http://is9.auto.ru/all/images/b8/c4/60x45/b8c4a2bc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 58 000 |  2004  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007298899-c4f826 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 37 000 |  1997  |  118 500 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005643237-1adc9 | http://is7.auto.ru/all/images/9c/f0/60x45/9cf01220.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 90 000 |  2002  |  75 236 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007119595-07717 | http://is18.auto.ru/all/images/d5/e6/60x45/d5e6bd52.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 51 000 |  1999  |  83 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007226863-f4be | http://is17.auto.ru/all/images/79/59/60x45/795983bf.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 53 800 |  2001  |  89 562 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007297247-d67072 | http://is5.auto.ru/all/images/58/8f/60x45/588fbcc9.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 40 000 |  1994  |  85 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Уфа | 23.01.15
1007298133-4744 | http://is5.auto.ru/all/images/18/96/60x45/189603ec.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 115 000 |  2003  |  187 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Волгодонск | 23.01.15
1007297029-e20a | http://is2.auto.ru/all/images/b7/c2/60x45/b7c21127.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 80 000 |  2000  |  153 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006958387-dd3b7 | http://is5.auto.ru/all/images/4c/b9/60x45/4cb954c7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 38 280 |  2000  |  254 037 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007297753-c65fb | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 8 900 |  2000  |  85 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006926691-baa00 | http://is9.auto.ru/all/images/77/86/60x45/7786313f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 51 000 Правый руль |  1997  |  54 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Лобня | 23.01.15
1004301269-03e298 | http://is15.auto.ru/all/images/38/ac/60x45/38ac469c.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 50 000 |  2001  |  250 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283251-f25d | http://is9.auto.ru/all/images/2e/fe/60x45/2efea916.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 40 000 |  2000  |  98 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280241-b53d5d | http://is14.auto.ru/all/images/86/41/60x45/864169ae.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 101 000 |  2003  |  67 251 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007297043-0f0a3c | http://is5.auto.ru/all/images/18/96/60x45/189603ec.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 115 000 |  2003  |  187 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Волгодонск | 23.01.15
1006920061-1a31a | http://is18.auto.ru/all/images/28/7d/60x45/287d7572.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #0000FF | 19 000 |  1995  |  111 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.01.15
1007292765-1e02e | http://is2.auto.ru/all/images/43/6a/60x45/436a85d1.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 99 999 |  2005  |  78 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296097-0c63f6 | http://is13.auto.ru/all/images/66/38/60x45/66382e95.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 75 000 |  2001  |  7 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Красная Гора | 23.01.15
1006862245-9744a | http://is1.auto.ru/all/images/85/c9/60x45/85c95d1a.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 87 000 |  2002  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007294743-82c8e4 | http://is11.auto.ru/all/images/7c/f5/60x45/7cf51dbf.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 90 000 |  2001  |  139 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007294283-73758a | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 45 000 |  2001  |  40 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Белгород | 23.01.15
1007294393-4f8a5a | http://is12.auto.ru/all/images/b0/5c/60x45/b05ca740.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 130 000 |  2003  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Владикавказ | 23.01.15
1007282523-c93b | http://is5.auto.ru/all/images/05/dc/60x45/05dc3ccf.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 110 000 |  2005  |  89 200 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007256267-f938 | http://is11.auto.ru/all/images/80/07/60x45/8007e053.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 55 000 |  2005  |  200 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Малаховка | 23.01.15
1007100859-2911 | http://is4.auto.ru/all/images/fa/b1/60x45/fab1e9d8.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 81 000 |  2004  |  145 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007294111-cf5cf8 | http://is18.auto.ru/all/images/c3/cc/60x45/c3cc84fc.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 60 000 |  1999  |  85 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Краснодар | 23.01.15
1007293853-9656d | http://is3.auto.ru/all/images/ce/c1/60x45/cec1d7ba.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 47 000 |  1990  |  55 980 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.01.15
1007291217-32b0 | http://is3.auto.ru/all/images/47/40/60x45/4740dcf6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 50 000 |  2003  |  78 500 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291211-4097b6 | http://is18.auto.ru/all/images/a2/7b/60x45/a27b276a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 120 000 |  2005  |  67 850 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291127-11fba | http://is18.auto.ru/all/images/bc/4e/60x45/bc4e6a8c.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 39 000 |  1994  |  87 550 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291139-22dd | http://is7.auto.ru/all/images/b8/74/60x45/b8744888.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 39 000 |  1999  |  97 300 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290091-225a | http://is13.auto.ru/all/images/40/91/60x45/40919fc2.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 50 000 |  2002  |  85 800 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007287065-d6d3e3 | http://is5.auto.ru/all/images/7d/18/60x45/7d18868c.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 85 000 |  2005  |  146 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007286053-c3e3 | http://is11.auto.ru/all/images/b5/ca/60x45/b5caf2ad.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 70 000 |  2001  |  168 428 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285163-3eb81e | http://is3.auto.ru/all/images/43/1b/60x45/431be495.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 65 000 |  2001  |  160 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007283761-83c1a0 | http://is16.auto.ru/all/images/c0/c6/60x45/c0c6fca8.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 30 000 |  1997  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Лебедянь | 23.01.15
1007282627-c25ae9 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 65 000 |  2003  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Уфа | 23.01.15
1007278815-1f39d5 | http://is12.auto.ru/all/images/d7/57/60x45/d757beb8.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 99 000 |  2004  |  121 814 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007274555-6fd2a2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 90 000 |  2004  |  110 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007266097-2ce70 | http://is2.auto.ru/all/images/28/f9/60x45/28f9a079.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 45 000 |  2002  |  85 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007268893-a14a4 | http://is8.auto.ru/all/images/f1/f2/60x45/f1f2255f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 68 000 |  2002  |  157 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007261931-76d01 | http://is10.auto.ru/all/images/4a/41/60x45/4a412d6b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 49 900 |  2002  |  195 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007255587-d576e7 | http://is3.auto.ru/all/images/cc/09/60x45/cc098cfb.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 100 000 |  2002  |  56 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007255515-66c5 | http://is13.auto.ru/all/images/2a/6b/60x45/2a6ba9b7.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 50 000 |  2003  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005589115-d0ae9f | http://is11.auto.ru/all/images/46/29/60x45/462919c6.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 75 000 |  2002  |  97 880 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007254441-a875aa | http://is15.auto.ru/all/images/ff/63/60x45/ff63ee12.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 110 000 |  2002  |  110 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007253999-222952 | http://is5.auto.ru/all/images/fa/20/60x45/fa2003e5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 35 000 |  2000  |  146 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Алексин | 22.01.15
1007254555-49c5 | http://is15.auto.ru/all/images/b8/be/60x45/b8bee274.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 250 000 |  1997  |  4 600 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Кумертау | 22.01.15
