1004213215-f3a8 | http://is4.auto.ru/all/images/da/89/60x45/da893c6a.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #34ba2b | 78 000 |  2001  |  110 000 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Нижний Новгород | 23.01.15
1007298783-d6a3d | http://is10.auto.ru/all/images/b2/d3/60x45/b2d37bc5.jpg |  ВАЗ 2110 21101.5 MT (73 л.с.)  | #CACECB | 125 000 |  2002  |  177 000 км  |  1.5 MT (73 л.с.)седан, бензин, передний  | Каспийск | 23.01.15
1007053969-542755 | http://is10.auto.ru/all/images/7a/67/60x45/7a67e0d8.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #34ba2b | 50 000 |  2001  |  133 333 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Королев | 23.01.15
1007297281-51fa | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2110 21101.5 MT (73 л.с.)  | #34ba2b | 65 000 |  1999  |  90 000 км  |  1.5 MT (73 л.с.)седан, бензин, передний  | Степное | 23.01.15
1007118101-8521 | http://is18.auto.ru/all/images/83/83/60x45/838312e4.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #9966CC | 65 000 |  2002  |  132 000 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Кострома | 23.01.15
1005613679-76325f | http://is14.auto.ru/all/images/63/14/60x45/63144080.jpg |  ВАЗ 2110 211031.5 MT (94 л.с.)  | #9c9999 | 69 000 |  2001  |  201 000 км  |  1.5 MT (94 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006803507-57778 | http://is5.auto.ru/all/images/78/37/60x45/78378620.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #9966CC | 110 000 |  2002  |  83 465 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297311-0bb7 | http://is18.auto.ru/all/images/3c/d1/60x45/3cd1dd05.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #CACECB | 87 000 |  2004  |  140 000 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Ярославль | 23.01.15
1006746093-1f4c | http://is18.auto.ru/all/images/8b/98/60x45/8b98babd.jpg |  ВАЗ 2110 211041.6 MT (90 л.с.)  | #CACECB | 125 000 |  2006  |  130 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Орел | 23.01.15
1006982919-f1ec | http://is15.auto.ru/all/images/2d/7a/60x45/2d7ace83.jpg |  ВАЗ 2110 21101.5 MT (73 л.с.)  | #FFFFFF | 65 000 |  2001  |  200 000 км  |  1.5 MT (73 л.с.)седан, бензин, передний  | Сергиев Посад | 23.01.15
1007296815-ae4e2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2110 21101.5 MT (73 л.с.)  | #CACECB | 120 000 |  2003  |  70 000 км  |  1.5 MT (73 л.с.)седан, бензин, передний  | Сочи | 23.01.15
1007296513-481c6 | http://is13.auto.ru/all/images/a1/9b/60x45/a19bf24b.jpg |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #34ba2b | 95 000 |  2004  |  120 000 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Орехово-Зуево | 23.01.15
1007295607-38bc2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2110 211021.5 MT (79 л.с.)  | #0000FF | 115 000 |  2002  |  170 000 км  |  1.5 MT (79 л.с.)седан, бензин, передний  | Рязань | 23.01.15
1007296119-fe66c | http://is7.auto.ru/all/images/fa/76/60x45/fa7614a7.jpg |  ВАЗ 2110 211011.6 MT (81 л.с.)  | #000000 | 155 000 |  2007  |  140 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Старый Оскол | 23.01.15
1003558702-eaab | http://is13.auto.ru/all/images/aa/08/60x45/aa08f582.jpg |  ВАЗ 2110 21101.5 MT (73 л.с.)  | #FFFFFF | 49 000 |  2000  |  180 000 км  |  1.5 MT (73 л.с.)седан, бензин, передний  | Тула | 23.01.15
