1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1007032793-2053f0 | http://is2.auto.ru/all/images/67/4b/60x45/674b5a35.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 111 111 |  2007  |  99 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 22.01.15
1007159129-7c98b | http://is4.auto.ru/all/images/63/40/60x45/634023e9.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 189 999 |  2007  |  97 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007247717-d81c0 | http://is2.auto.ru/all/images/00/1a/60x45/001a12bd.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 180 000 |  2010  |  50 400 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Калуга | 22.01.15
1007247493-ef8ac | http://is18.auto.ru/all/images/1b/cd/60x45/1bcdaff6.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 238 000 |  2013  |  17 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1007221865-21768 | http://is12.auto.ru/all/images/71/46/60x45/71468c26.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 79 999 |  2007  |  97 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007213573-0d02f | http://is17.auto.ru/all/images/83/97/60x45/83978826.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 190 000 |  2010  |  85 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007181563-8a82a | http://is7.auto.ru/all/images/a8/be/60x45/a8be73d3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 97 000 |  2003  |  250 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007246013-59853 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 137 000 |  2006  |  76 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орел | 22.01.15
1007242695-b22cd | http://is9.auto.ru/all/images/18/90/60x45/18904b6b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2011  |  90 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Кингисепп | 22.01.15
1007246427-25ec3 | http://is13.auto.ru/all/images/3e/68/60x45/3e68a216.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2010  |  75 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007216451-2d016d | http://is7.auto.ru/all/images/f5/26/60x45/f526c65d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 180 000 |  2011  |  30 300 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007245365-24c7 | http://is10.auto.ru/all/images/6f/57/60x45/6f57ddc6.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 105 000 |  2007  |  112 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1006868645-15d1cd | http://is5.auto.ru/all/images/bb/67/60x45/bb6716b0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 145 000 |  2005  |  175 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Щекино | 22.01.15
1006517979-9d99b | http://is4.auto.ru/all/images/8f/50/60x45/8f502520.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 110 000 |  2007  |  153 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Владимир | 22.01.15
1007166441-8baa4 | http://is6.auto.ru/all/images/e3/71/60x45/e3716e05.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2004  |  109 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1006617549-48b3 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 110 000 |  2005  |  102 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007242921-98efe | http://is15.auto.ru/all/images/16/65/60x45/16655c78.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 130 000 |  2009  |  100 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 22.01.15
1006993411-af63a | http://is7.auto.ru/all/images/ae/e4/60x45/aee4c40b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 120 000 |  2006  |  10 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Солнечногорск | 22.01.15
1007041429-5372c | http://is11.auto.ru/all/images/e9/16/60x45/e9168951.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 88 000 |  2004  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кубинка | 22.01.15
1007103929-fb9f | http://is7.auto.ru/all/images/33/d1/60x45/33d127d3.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 145 000 |  2008  |  88 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007242761-82f7b1 | http://is6.auto.ru/all/images/60/01/60x45/600140e9.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 160 000 |  2008  |  113 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ступино | 22.01.15
1007216165-b51423 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 190 000 |  2009  |  21 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007241997-1d7f | http://is15.auto.ru/all/images/37/32/60x45/37320591.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 128 000 |  2007  |  68 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Радужный | 22.01.15
1007186171-def6 | http://is3.auto.ru/all/images/16/ee/60x45/16eeb255.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 90 000 |  2006  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Лосино-Петровский | 22.01.15
1007216927-d048 | http://is16.auto.ru/all/images/b5/97/60x45/b5974d15.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 145 000 |  2008  |  64 880 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007240747-129e0 | http://is16.auto.ru/all/images/47/bd/60x45/47bd14d2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 143 000 |  2005  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007241057-fd2974 | http://is15.auto.ru/all/images/14/ab/60x45/14aba572.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 215 000 |  2011  |  55 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007240969-84dd | http://is6.auto.ru/all/images/71/bd/60x45/71bda177.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2008  |  71 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
