1006870167-2d0d4 | http://is13.auto.ru/all/images/26/90/60x45/26908ec0.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 345 000 |  2012  |  25 600 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006750069-3117 | http://is17.auto.ru/all/images/6c/51/60x45/6c513f5f.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 285 000 |  2011  |  60 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 23.01.15
1007292717-71b8d | http://is2.auto.ru/all/images/cf/f9/60x45/cff9da30.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 149 999 |  2000  |  135 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007292139-2b542 | http://is8.auto.ru/all/images/e2/a2/60x45/e2a27666.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 465 000 |  2014  |  360 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Реутов | 23.01.15
1007292003-e460 | http://is6.auto.ru/all/images/2e/be/60x45/2ebe0864.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 320 000 |  2011  |  53 456 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291995-8e6088 | http://is4.auto.ru/all/images/1a/fc/60x45/1afcdeef.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 360 000 |  2013  |  37 856 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291605-8f2c | http://is14.auto.ru/all/images/fa/13/60x45/fa13ee50.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 357 000 |  2013  |  16 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291137-ce13 | http://is7.auto.ru/all/images/54/e3/60x45/54e3c3bb.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 75 000 |  1998  |  82 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291173-378f | http://is15.auto.ru/all/images/d9/2b/60x45/d92b9e29.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 75 000 |  2000  |  82 600 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290995-9710b | http://is15.auto.ru/all/images/35/a9/60x45/35a994a5.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 350 000 |  2012  |  7 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290391-e9ebc | http://is8.auto.ru/all/images/a0/ee/60x45/a0eec7f5.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 205 000 |  2008  |  85 989 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007289935-868f66 | http://is1.auto.ru/all/images/db/7b/60x45/db7b7a58.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 168 000 |  2002  |  93 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 23.01.15
46957788-678d | http://is18.auto.ru/all/images/08/3b/60x45/083b433a.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 130 000 |  2001  |  114 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Луховицы | 23.01.15
