1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1007293169-113f99 | http://is18.auto.ru/all/images/2d/27/60x45/2d27a648.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 255 555 |  2012  |  52 411 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292977-4f2e | http://is18.auto.ru/all/images/e0/92/60x45/e092550d.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #34ba2b | 195 000 |  2009  |  25 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Клин | 23.01.15
1007292967-b7116f | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 27 000 Правый руль |  2010  |  60 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Донской | 23.01.15
1007292871-d0a59 | http://is9.auto.ru/all/images/6e/a9/60x45/6ea9cca8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 149 000 |  2011  |  29 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Саратов | 23.01.15
1007238549-74f72b | http://is15.auto.ru/all/images/96/e0/60x45/96e0f6b6.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 245 000 |  2009  |  77 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Орел | 23.01.15
1007292773-944e | http://is6.auto.ru/all/images/43/72/60x45/43721545.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 160 000 |  2007  |  100 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006924335-954490 | http://is15.auto.ru/all/images/34/3c/60x45/343ce5e3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 175 000 |  2008  |  70 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292723-98117b | http://is15.auto.ru/all/images/cb/95/60x45/cb95dcad.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 209 999 |  2009  |  73 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292681-02739 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #926547 | 520 000 |  2014  |  2 000 км  |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Махачкала | 23.01.15
1007291737-6a74 | http://is8.auto.ru/all/images/b6/6d/60x45/b66d159e.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FF0000 | 215 000 |  2011  |  85 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291473-cdc785 | http://is6.auto.ru/all/images/1e/a7/60x45/1ea7bfb7.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9966CC | 188 000 |  2009  |  26 014 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007291175-a59b76 | http://is9.auto.ru/all/images/26/1e/60x45/261ea892.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 240 000 |  2011  |  43 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290201-6ff02 | http://is16.auto.ru/all/images/4a/8e/60x45/4a8e089d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 210 000 |  2010  |  64 550 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007251939-714c1b | http://is11.auto.ru/all/images/ef/2e/60x45/ef2e0925.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 170 000 |  2008  |  64 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Рязань | 23.01.15
1005447805-cc7f56 | http://is10.auto.ru/all/images/96/bb/60x45/96bb064a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 228 000 |  2010  |  51 087 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Электросталь | 23.01.15
1007287135-bcf5f | http://is8.auto.ru/all/images/4a/23/60x45/4a231ea4.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 325 000 |  2012  |  50 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007286891-55538 | http://is10.auto.ru/all/images/18/4f/60x45/184f8479.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 170 000 |  2008  |  39 424 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007286473-0dba6 | http://is13.auto.ru/all/images/e9/54/60x45/e954d164.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 222 222 |  2010  |  121 200 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006524989-6c3fb7 | http://is12.auto.ru/all/images/d1/4d/60x45/d14d5a42.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 205 000 |  2009  |  43 652 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1006511741-a732 | http://is16.auto.ru/all/images/41/17/60x45/4117f597.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 216 000 |  2010  |  86 210 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
