1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1006314109-8b939 | http://is11.auto.ru/all/images/10/97/60x45/1097e7fe.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 268 000 |  2011  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007095621-eb8c3 | http://is1.auto.ru/all/images/4b/3e/60x45/4b3e8145.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 275 555 |  2012  |  75 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007232391-911c | http://is6.auto.ru/all/images/fc/b9/60x45/fcb9b72d.jpg |  ВАЗ Priora I Premier1.8 MT (98 л.с.)  | #000000 | 399 999 |  2012  |  50 000 км  |  1.8 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007246677-7a131 | http://is17.auto.ru/all/images/7e/ea/60x45/7eeab402.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 245 000 |  2010  |  46 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007174451-7d06 | http://is6.auto.ru/all/images/c6/14/60x45/c614c10b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 228 000 |  2011  |  83 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Липецк | 22.01.15
1007247273-17c9 | http://is6.auto.ru/all/images/0a/cf/60x45/0acf84c5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 305 000 |  2012  |  95 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007246797-b922 | http://is16.auto.ru/all/images/fe/9a/60x45/fe9afad8.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #34ba2b | 258 000 |  2009  |  85 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Минводы | 22.01.15
1007247125-331a84 | http://is14.auto.ru/all/images/c7/0e/60x45/c70eefad.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 247 000 |  2010  |  27 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007243401-cb06aa | http://is5.auto.ru/all/images/73/51/60x45/7351731f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 205 000 |  2010  |  79 086 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007246809-1f62 | http://is11.auto.ru/all/images/e8/e2/60x45/e8e2b2d6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 229 000 |  2010  |  81 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007217883-154c | http://is7.auto.ru/all/images/8f/81/60x45/8f818b37.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CC0033 | 260 000 |  2012  |  51 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217711-2381f | http://is2.auto.ru/all/images/9e/5d/60x45/9e5dc7eb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CC0033 | 265 000 |  2012  |  68 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
41180626-6a1e2 | http://is12.auto.ru/all/images/48/17/60x45/4817687f.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 330 000 |  2012  |  15 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Россошь | 22.01.15
1006620193-1edc | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 195 000 |  2008  |  85 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006985445-aec4 | http://is2.auto.ru/all/images/e3/34/60x45/e3346d3c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 270 000 |  2008  |  95 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245407-b418 | http://is15.auto.ru/all/images/38/76/60x45/38764e34.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 179 000 |  2008  |  138 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Самара | 22.01.15
1005802181-fdcda | http://is2.auto.ru/all/images/93/46/60x45/93460a9d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 305 000 |  2012  |  64 781 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004252169-e731b | http://is9.auto.ru/all/images/e6/c5/60x45/e6c5d512.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 200 000 |  2010  |  154 251 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242727-4f0f | http://is12.auto.ru/all/images/91/81/60x45/9181dcf7.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 245 000 |  2009  |  64 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007188501-4eff4b | http://is3.auto.ru/all/images/95/f4/60x45/95f4cd87.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2008  |  62 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007241753-c35a6 | http://is8.auto.ru/all/images/a6/bf/60x45/a6bfa342.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 420 000 |  2014  |  6 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1005315017-7410b2 | http://is12.auto.ru/all/images/3f/8f/60x45/3f8f80e5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9966CC | 225 000 |  2009  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Псков | 22.01.15
1007242485-9bce | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 230 000 |  2011  |  76 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007241561-e387 | http://is8.auto.ru/all/images/63/ec/60x45/63ecbea2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 350 000 |  2012  |  30 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241095-ea8a5c | http://is8.auto.ru/all/images/46/29/60x45/4629939b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 257 000 |  2011  |  87 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Зубова Поляна | 22.01.15
1007242411-17b9db | http://is11.auto.ru/all/images/e7/a0/60x45/e7a09bfd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 200 000 |  2008  |  88 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Орел | 22.01.15
1007240597-41a67 | http://is1.auto.ru/all/images/9a/a5/60x45/9aa53df4.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #34ba2b | 197 000 |  2009  |  80 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Киров | 22.01.15
