1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1005807865-3e0e | http://is10.auto.ru/all/images/e1/42/60x45/e142339c.jpg |  Volkswagen Jetta V1.6 MT (102 л.с.)  | #0000FF | 360 000 |  2007  |  71 600 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007243221-8926ee | http://is13.auto.ru/all/images/c7/ee/60x45/c7ee651a.jpg |  Volkswagen Multivan T52.5d AT (131 л.с.)  | #FFFFFF | 1 099 000 |  2008  |  155 000 км  |  2.5d AT (131 л.с.)минивэн, дизель, передний  | Санкт-Петербург | 22.01.15
1007240087-ec0a | http://is2.auto.ru/all/images/99/39/60x45/993982ab.jpg |  Volkswagen Passat B51.9d MT (110 л.с.)  | #FFFFFF | 220 000 |  1997  |  300 000 км  |  1.9d MT (110 л.с.)универсал, дизель, передний  | Истра | 22.01.15
1007241047-4055b0 | http://is8.auto.ru/all/images/e0/8f/60x45/e08f119b.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 340 000 |  2004  |  97 865 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241617-1df20 | http://is15.auto.ru/all/images/80/38/60x45/80381d4a.jpg |  Volkswagen Touareg I4.2 AT (310 л.с.) 4WD  | #000000 | 540 000 |  2004  |  99 741 км  |  4.2 AT (310 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007246151-9762 | http://is18.auto.ru/all/images/d6/f9/60x45/d6f9bee5.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #9c9999 | 799 000 |  2006  |  123 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
48688730-1577 | http://is10.auto.ru/all/images/e7/2b/60x45/e72b5336.jpg |  Volkswagen Passat B61.8 AT (160 л.с.)  | #000000 | 710 000 |  2008  |  92 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007246065-578f3 | http://is2.auto.ru/all/images/47/3e/60x45/473ec4a0.jpg |  Volkswagen Touareg I Рестайлинг3.6 AT (280 л.с.) 4WD  | #000000 | 800 000 |  2007  |  205 000 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Домодедово | 22.01.15
1007245453-35ca | http://is4.auto.ru/all/images/0c/ab/60x45/0cab373c.jpg |  Volkswagen Passat CC I Рестайлинг1.8 AT (152 л.с.)  | #000000 | 1 390 000 |  2013  |  49 600 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007039233-4d84b | http://is7.auto.ru/all/images/2b/8b/60x45/2b8b9323.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 685 000 |  2011  |  52 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245979-73be69 | http://is16.auto.ru/all/images/63/fe/60x45/63fe0edd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 455 000 |  2011  |  57 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Пенза | 22.01.15
14912376-c2a3d | http://is7.auto.ru/all/images/7e/19/60x45/7e190a3d.jpg |  Volkswagen Passat CC I Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 1 399 000 |  2013  |  33 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007244149-5d9e5 | http://is8.auto.ru/all/images/e7/33/60x45/e7335452.jpg |  Volkswagen Jetta VI1.4 MT (122 л.с.)  | #926547 | 875 000 |  2012  |  59 806 км  |  1.4 MT (122 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007245847-9900 | http://is18.auto.ru/all/images/d8/00/60x45/d80024d0.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #0000FF | 485 000 |  2009  |  86 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Пенза | 22.01.15
1007242859-e22ca | http://is12.auto.ru/all/images/03/f4/60x45/03f442d0.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #FFFFFF | 1 780 000 |  2012  |  85 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Орел | 22.01.15
1007245831-f5e914 | http://is16.auto.ru/all/images/c8/d2/60x45/c8d2ca62.jpg |  Volkswagen Golf GTI V2.0 MT (200 л.с.)  | #FFFFFF | 595 000 |  2007  |  83 000 км  |  2.0 MT (200 л.с.)хэтчбек, бензин, передний  | Челябинск | 22.01.15
1007245357-5b8e | /i/all7/img/no-photo-thumb.gif |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #000000 | 1 200 000 |  2012  |  100 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Туймазы | 22.01.15
1007240721-20f63b | http://is4.auto.ru/all/images/a0/0a/60x45/a00af475.jpg |  Volkswagen Golf V1.9d MT (105 л.с.)  | #CACECB | 4 000 000 |  2004  |  100 000 км  |  1.9d MT (105 л.с.)хэтчбек, дизель, передний  | Курск | 22.01.15
1007245385-4ff8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B51.6 MT (101 л.с.)  | #FFFFFF | 196 667 |  1998  |  267 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Зеленоград | 22.01.15
1007245467-4da1 | http://is17.auto.ru/all/images/62/92/60x45/6292b42a.jpg |  Volkswagen Transporter T5 Рестайлинг2.0d MT (102 л.с.)  | #FFFFFF | 1 200 000 |  2012  |  81 000 км  |  2.0d MT (102 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007172679-7f2d3e | http://is17.auto.ru/all/images/04/8c/60x45/048c2bcb.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 430 000 |  2011  |  87 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007245303-d795c2 | http://is14.auto.ru/all/images/0d/f2/60x45/0df2dea7.jpg |  Volkswagen Caddy III1.4 MT (75 л.с.)  | #0088ff | 250 000 |  2004  |  313 000 км  |  1.4 MT (75 л.с.)компактвэн, бензин, передний  | Одинцово | 22.01.15
1007171863-3232 | http://is6.auto.ru/all/images/3f/33/60x45/3f3381a3.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 315 000 |  2008  |  136 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006813665-11127 | http://is5.auto.ru/all/images/68/10/60x45/681034f8.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #ffefd5 | 849 990 |  2010  |  107 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007242405-43976 | http://is15.auto.ru/all/images/c0/53/60x45/c053cdca.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 540 000 |  2013  |  29 352 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Орел | 22.01.15
1007242581-790a11 | http://is17.auto.ru/all/images/cc/f1/60x45/ccf16731.jpg |  Volkswagen Golf GTI VI2.0 AT (210 л.с.)  | #FFFFFF | 780 000 |  2010  |  98 000 км  |  2.0 AT (210 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007244093-c93b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 608 400 |  2011  |  38 785 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
