1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007301751-bf1a5b | http://is5.auto.ru/all/images/1d/8c/60x45/1d8cd387.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #FFFFFF | 615 000 |  2011  |  57 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Рязань | 23.01.15
1007301519-5541 | http://is12.auto.ru/all/images/58/c1/60x45/58c1f3cc.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #CACECB | 670 000 |  2011  |  72 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007301621-eb3d6b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 660 000 |  2011  |  80 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006511853-4fb3af | http://is3.auto.ru/all/images/0e/83/60x45/0e83fad4.jpg |  Volkswagen Golf V1.4 AT (140 л.с.)  | #9c9999 | 469 000 |  2008  |  161 005 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007301093-56e06 | http://is15.auto.ru/all/images/43/18/60x45/43186520.jpg |  Volkswagen Golf V1.4 MT (140 л.с.)  | #FF0000 | 477 000 |  2008  |  55 000 км  |  1.4 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007224111-f4b499 | http://is16.auto.ru/all/images/2c/81/60x45/2c81d898.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #000000 | 177 000 |  1997  |  170 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284463-000ece | http://is10.auto.ru/all/images/71/10/60x45/71108bed.jpg |  Volkswagen Golf VI1.8 AT (160 л.с.)  | #9c9999 | 649 900 |  2011  |  92 483 км  |  1.8 AT (160 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007298453-af13 | http://is11.auto.ru/all/images/b7/be/60x45/b7be8b24.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 840 000 |  2012  |  66 180 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007299863-00fa | http://is12.auto.ru/all/images/7a/04/60x45/7a04de3e.jpg |  Volkswagen Golf II1.8 MT (90 л.с.)  | #000000 | 49 000 |  1986  |  233 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006415977-7d13 | http://is9.auto.ru/all/images/58/90/60x45/58902cef.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #9c9999 | 590 000 |  2011  |  68 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Липецк | 23.01.15
1004298303-6c50 | http://is1.auto.ru/all/images/12/ca/60x45/12cae041.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #0000FF | 310 000 |  2003  |  109 000 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Брянск | 23.01.15
