1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1007299861-1c7d5 | http://is5.auto.ru/all/images/a8/cf/60x45/a8cf66be.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 600 000 |  2012  |  30 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003345822-45980 | http://is16.auto.ru/all/images/f7/2b/60x45/f72baf68.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 395 000 |  2012  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1002939520-948b63 | http://is11.auto.ru/all/images/3a/01/60x45/3a017e64.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 520 000 |  2011  |  45 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пятигорск | 23.01.15
1006460859-0326d | http://is14.auto.ru/all/images/a5/a2/60x45/a5a2aae9.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #0000FF | 250 000 |  2006  |  178 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.01.15
1007231223-7e5e8 | http://is8.auto.ru/all/images/eb/41/60x45/eb41a2b1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 365 000 |  2011  |  95 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Липецк | 23.01.15
1007282509-44178c | http://is2.auto.ru/all/images/93/65/60x45/936518a2.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 470 000 |  2012  |  50 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007300849-77f1b6 | http://is12.auto.ru/all/images/1e/67/60x45/1e67054e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 455 000 |  2012  |  51 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004491347-cce9 | http://is3.auto.ru/all/images/ad/3d/60x45/ad3d7beb.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 387 000 |  2012  |  38 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007295413-9427 | http://is12.auto.ru/all/images/dd/50/60x45/dd50e4e5.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #CACECB | 225 000 |  2002  |  103 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1004016646-e4b0 | http://is7.auto.ru/all/images/04/07/60x45/0407fca9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 422 000 |  2012  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007300449-94520 | http://is17.auto.ru/all/images/07/61/60x45/07615f7e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 599 000 |  2012  |  52 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007300309-90f50 | http://is11.auto.ru/all/images/69/68/60x45/6968909f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 520 000 |  2014  |  4 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1000276514-837301 | http://is3.auto.ru/all/images/43/56/60x45/43561b66.jpg |  Volkswagen Polo III1.3 MT (55 л.с.)  | #34ba2b | 105 000 |  1994  |  210 000 км  |  1.3 MT (55 л.с.)хэтчбек, бензин, передний  | Орел | 23.01.15
1007299761-c53a | http://is2.auto.ru/all/images/d7/9e/60x45/d79e0e09.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 580 000 |  2012  |  55 700 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282793-5c52 | http://is11.auto.ru/all/images/79/aa/60x45/79aace79.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 535 000 |  2013  |  30 197 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283025-a5f12 | http://is18.auto.ru/all/images/5d/38/60x45/5d388e73.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 330 000 |  2005  |  89 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007298873-397717 | http://is14.auto.ru/all/images/53/bc/60x45/53bc2d7a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 460 000 |  2012  |  48 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007261991-b6a054 | http://is9.auto.ru/all/images/0b/94/60x45/0b943957.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 650 000 |  2014  |  14 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007282949-c472a9 | http://is3.auto.ru/all/images/23/f7/60x45/23f793a3.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 495 000 |  2012  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282909-723d0 | http://is11.auto.ru/all/images/a1/ad/60x45/a1ad027a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 550 000 |  2012  |  41 200 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005106503-e84c | http://is17.auto.ru/all/images/6d/3a/60x45/6d3a8fe8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 440 000 |  2012  |  41 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005640519-95f33 | http://is16.auto.ru/all/images/3e/6f/60x45/3e6f6cf6.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #fde910 | 510 000 |  2011  |  20 279 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007174749-6a56 | http://is7.auto.ru/all/images/a3/c6/60x45/a3c66d24.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 585 000 |  2013  |  26 580 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281123-91ec8 | http://is18.auto.ru/all/images/f9/f3/60x45/f9f32cb9.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #FFFFFF | 405 000 |  2014  |  41 000 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281179-11e642 | http://is14.auto.ru/all/images/19/80/60x45/1980b3d7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 425 000 |  2013  |  40 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007190293-f5fb3e | http://is17.auto.ru/all/images/21/84/60x45/218454ba.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 499 000 |  2013  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Брянск | 23.01.15
1005241895-ce6d0e | http://is9.auto.ru/all/images/b2/b7/60x45/b2b7f4a8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 499 000 |  2011  |  64 901 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241899-f99bea | http://is7.auto.ru/all/images/85/6f/60x45/856f9ecf.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 499 000 |  2011  |  63 694 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241903-61499a | http://is18.auto.ru/all/images/b5/5e/60x45/b55eeca5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 499 000 |  2011  |  72 046 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006873121-26d9 | http://is12.auto.ru/all/images/80/63/60x45/806314db.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #ffefd5 | 499 000 |  2011  |  73 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007214425-4164 | http://is1.auto.ru/all/images/32/7a/60x45/327a3265.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 539 000 |  2013  |  18 528 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005969195-dbb242 | http://is18.auto.ru/all/images/99/54/60x45/995486da.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 649 000 |  2012  |  61 104 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241891-eb41c | http://is16.auto.ru/all/images/d0/11/60x45/d0112e5d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 658 680 |  2011  |  30 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007076763-addc2 | http://is7.auto.ru/all/images/76/9d/60x45/769d7805.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #9c9999 | 479 000 |  2009  |  62 900 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
