1007247839-94903e | http://is2.auto.ru/all/images/bd/75/60x45/bd752498.jpg |  Volkswagen Touareg II3.0d AT (240 л.с.) 4WD  | #FFFFFF | 1 998 000 |  2011  |  100 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Краснодар | 22.01.15
1007247621-a54c3 | http://is10.auto.ru/all/images/63/5d/60x45/635d8b28.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #000000 | 3 000 000 |  2014  |  29 000 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 22.01.15
1007246887-ab948 | http://is3.auto.ru/all/images/a2/13/60x45/a21306d4.jpg |  Volkswagen Touareg II3.0d AT (204 л.с.) 4WD  | #000000 | 1 000 000 |  2011  |  70 000 км  |  3.0d AT (204 л.с.) 4WDвнедорожник, дизель, полный  | Павлово | 22.01.15
1007042951-5ccd52 | http://is16.auto.ru/all/images/1e/1f/60x45/1e1fb125.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #ffefd5 | 1 490 000 |  2008  |  36 500 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 22.01.15
1007241617-1df20 | http://is15.auto.ru/all/images/80/38/60x45/80381d4a.jpg |  Volkswagen Touareg I4.2 AT (310 л.с.) 4WD  | #000000 | 540 000 |  2004  |  99 741 км  |  4.2 AT (310 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007246997-bfb1 | http://is9.auto.ru/all/images/fd/cd/60x45/fdcddbe9.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #000000 | 1 580 000 |  2012  |  50 000 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007246569-fb7d72 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touareg II3.0d AT (240 л.с.) 4WD  | #FFFFFF | 1 900 000 |  2010  |  104 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007112759-33c29 | http://is7.auto.ru/all/images/94/7d/60x45/947db52e.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #9c9999 | 2 500 000 |  2012  |  37 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007246391-6d19 | http://is16.auto.ru/all/images/fa/c4/60x45/fac46d1b.jpg |  Volkswagen Touareg II3.0d AT (204 л.с.) 4WD  | #CACECB | 1 990 000 |  2012  |  90 000 км  |  3.0d AT (204 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007246389-36b75 | http://is3.auto.ru/all/images/dd/a8/60x45/dda877fa.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #000000 | 2 150 000 |  2012  |  71 435 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007246385-8b0f | http://is4.auto.ru/all/images/98/13/60x45/98136747.jpg |  Volkswagen Touareg II3.0d AT (204 л.с.) 4WD  | #000000 | 2 499 000 |  2013  |  45 000 км  |  3.0d AT (204 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007246383-a59f1 | http://is15.auto.ru/all/images/7a/84/60x45/7a84d553.jpg |  Volkswagen Touareg II4.1d AT (340 л.с.) 4WD  | #000000 | 2 650 000 |  2013  |  45 000 км  |  4.1d AT (340 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
